,yaxis,xaxis,r
GSE144239_GSM4284317_10x16,4963.7,3813.6,45.11737368922783
GSE144239_GSM4284317_10x18,5365.9,3809.8,45.11737368922783
GSE144239_GSM4284317_10x20,5762.1,3813.2,45.11737368922783
GSE144239_GSM4284317_10x22,6163.1,3806.2,45.11737368922783
GSE144239_GSM4284317_10x24,6567.3,3811.6,45.11737368922783
GSE144239_GSM4284317_10x26,6960.8,3814.3,45.11737368922783
GSE144239_GSM4284317_10x28,7360.8,3817.9,45.11737368922783
GSE144239_GSM4284317_10x30,7769.9,3803.2,45.11737368922783
GSE144239_GSM4284317_10x32,8171.0,3807.4,45.11737368922783
GSE144239_GSM4284317_10x34,8578.1,3807.7,45.11737368922783
GSE144239_GSM4284317_10x36,8975.2,3811.8,45.11737368922783
GSE144239_GSM4284317_11x13,4359.3,3989.1,45.11737368922783
GSE144239_GSM4284317_11x15,4760.9,3998.7,45.11737368922783
GSE144239_GSM4284317_11x17,5155.7,3998.3,45.11737368922783
GSE144239_GSM4284317_11x19,5557.0,3993.5,45.11737368922783
GSE144239_GSM4284317_11x21,5960.1,3986.5,45.11737368922783
GSE144239_GSM4284317_11x23,6365.6,3986.5,45.11737368922783
GSE144239_GSM4284317_11x25,6772.6,3995.0,45.11737368922783
GSE144239_GSM4284317_11x27,7159.7,3992.3,45.11737368922783
GSE144239_GSM4284317_11x29,7572.1,3983.7,45.11737368922783
GSE144239_GSM4284317_11x31,7976.1,3987.9,45.11737368922783
GSE144239_GSM4284317_11x33,8374.3,3985.9,45.11737368922783
GSE144239_GSM4284317_11x35,8777.4,3986.0,45.11737368922783
GSE144239_GSM4284317_11x37,9167.8,3984.9,45.11737368922783
GSE144239_GSM4284317_12x12,4157.1,4179.4,45.11737368922783
GSE144239_GSM4284317_12x14,4555.0,4172.0,45.11737368922783
GSE144239_GSM4284317_12x16,4954.2,4173.7,45.11737368922783
GSE144239_GSM4284317_12x18,5357.9,4170.7,45.11737368922783
GSE144239_GSM4284317_12x20,5756.7,4176.8,45.11737368922783
GSE144239_GSM4284317_12x22,6161.8,4164.1,45.11737368922783
GSE144239_GSM4284317_12x24,6558.4,4166.0,45.11737368922783
GSE144239_GSM4284317_12x26,6968.2,4166.4,45.11737368922783
GSE144239_GSM4284317_12x28,7363.5,4176.8,45.11737368922783
GSE144239_GSM4284317_12x30,7770.7,4161.6,45.11737368922783
GSE144239_GSM4284317_12x32,8169.2,4168.8,45.11737368922783
GSE144239_GSM4284317_12x34,8576.7,4167.6,45.11737368922783
GSE144239_GSM4284317_12x36,8971.9,4178.2,45.11737368922783
GSE144239_GSM4284317_12x38,9366.0,4158.1,45.11737368922783
GSE144239_GSM4284317_13x11,3954.0,4363.0,45.11737368922783
GSE144239_GSM4284317_13x13,4355.2,4349.1,45.11737368922783
GSE144239_GSM4284317_13x15,4759.3,4354.4,45.11737368922783
GSE144239_GSM4284317_13x17,5158.0,4354.0,45.11737368922783
GSE144239_GSM4284317_13x19,5557.4,4356.6,45.11737368922783
GSE144239_GSM4284317_13x21,5956.1,4350.6,45.11737368922783
GSE144239_GSM4284317_13x23,6364.0,4342.1,45.11737368922783
GSE144239_GSM4284317_13x25,6759.6,4353.3,45.11737368922783
GSE144239_GSM4284317_13x27,7154.7,4355.7,45.11737368922783
GSE144239_GSM4284317_13x29,7568.5,4346.5,45.11737368922783
GSE144239_GSM4284317_13x31,7962.6,4349.6,45.11737368922783
GSE144239_GSM4284317_13x33,8367.9,4350.5,45.11737368922783
GSE144239_GSM4284317_13x35,8774.7,4349.5,45.11737368922783
GSE144239_GSM4284317_13x37,9168.7,4351.9,45.11737368922783
GSE144239_GSM4284317_14x10,3748.4,4538.1,45.11737368922783
GSE144239_GSM4284317_14x12,4147.2,4536.9,45.11737368922783
GSE144239_GSM4284317_14x14,4547.7,4528.8,45.11737368922783
GSE144239_GSM4284317_14x16,4941.2,4531.6,45.11737368922783
GSE144239_GSM4284317_14x18,5351.8,4537.3,45.11737368922783
GSE144239_GSM4284317_14x20,5744.9,4537.2,45.11737368922783
GSE144239_GSM4284317_14x22,6147.3,4526.7,45.11737368922783
GSE144239_GSM4284317_14x24,6548.1,4527.2,45.11737368922783
GSE144239_GSM4284317_14x26,6948.0,4531.4,45.11737368922783
GSE144239_GSM4284317_14x28,7351.3,4531.0,45.11737368922783
GSE144239_GSM4284317_14x30,7744.8,4522.6,45.11737368922783
GSE144239_GSM4284317_14x32,8145.9,4526.4,45.11737368922783
GSE144239_GSM4284317_14x34,8547.4,4530.2,45.11737368922783
GSE144239_GSM4284317_14x36,8952.1,4535.3,45.11737368922783
GSE144239_GSM4284317_14x38,9350.2,4526.1,45.11737368922783
GSE144239_GSM4284317_14x8,3346.1,4533.6,45.11737368922783
GSE144239_GSM4284317_15x11,3957.5,4718.8,45.11737368922783
GSE144239_GSM4284317_15x13,4348.4,4708.4,45.11737368922783
GSE144239_GSM4284317_15x15,4746.5,4710.7,45.11737368922783
GSE144239_GSM4284317_15x17,5159.6,4714.5,45.11737368922783
GSE144239_GSM4284317_15x19,5550.8,4718.4,45.11737368922783
GSE144239_GSM4284317_15x21,5948.1,4708.8,45.11737368922783
GSE144239_GSM4284317_15x23,6348.9,4707.0,45.11737368922783
GSE144239_GSM4284317_15x25,6755.8,4707.1,45.11737368922783
GSE144239_GSM4284317_15x27,7156.7,4714.4,45.11737368922783
GSE144239_GSM4284317_15x29,7548.5,4705.2,45.11737368922783
GSE144239_GSM4284317_15x31,7948.4,4706.4,45.11737368922783
GSE144239_GSM4284317_15x33,8351.4,4709.4,45.11737368922783
GSE144239_GSM4284317_15x35,8754.5,4710.7,45.11737368922783
GSE144239_GSM4284317_15x37,9154.8,4707.6,45.11737368922783
GSE144239_GSM4284317_15x39,9552.5,4711.0,45.11737368922783
GSE144239_GSM4284317_15x7,3144.9,4714.8,45.11737368922783
GSE144239_GSM4284317_15x9,3549.9,4717.8,45.11737368922783
GSE144239_GSM4284317_16x10,3750.8,4900.1,45.11737368922783
GSE144239_GSM4284317_16x12,4147.5,4897.9,45.11737368922783
GSE144239_GSM4284317_16x14,4547.5,4891.9,45.11737368922783
GSE144239_GSM4284317_16x16,4951.0,4890.2,45.11737368922783
GSE144239_GSM4284317_16x18,5354.7,4897.0,45.11737368922783
GSE144239_GSM4284317_16x20,5750.0,4902.0,45.11737368922783
GSE144239_GSM4284317_16x22,6147.2,4888.6,45.11737368922783
GSE144239_GSM4284317_16x24,6553.4,4887.9,45.11737368922783
GSE144239_GSM4284317_16x26,6945.5,4896.5,45.11737368922783
GSE144239_GSM4284317_16x28,7352.8,4891.8,45.11737368922783
GSE144239_GSM4284317_16x30,7747.9,4885.9,45.11737368922783
GSE144239_GSM4284317_16x32,8149.4,4889.4,45.11737368922783
GSE144239_GSM4284317_16x34,8552.7,4889.8,45.11737368922783
GSE144239_GSM4284317_16x36,8950.5,4892.0,45.11737368922783
GSE144239_GSM4284317_16x38,9349.4,4885.3,45.11737368922783
GSE144239_GSM4284317_16x6,2945.6,4892.9,45.11737368922783
GSE144239_GSM4284317_16x8,3346.4,4896.1,45.11737368922783
GSE144239_GSM4284317_17x11,3948.8,5079.7,45.11737368922783
GSE144239_GSM4284317_17x13,4347.2,5068.6,45.11737368922783
GSE144239_GSM4284317_17x15,4742.9,5069.2,45.11737368922783
GSE144239_GSM4284317_17x17,5147.8,5076.8,45.11737368922783
GSE144239_GSM4284317_17x19,5543.5,5078.4,45.11737368922783
GSE144239_GSM4284317_17x21,5947.2,5067.9,45.11737368922783
GSE144239_GSM4284317_17x23,6349.7,5068.6,45.11737368922783
GSE144239_GSM4284317_17x25,6755.0,5080.4,45.11737368922783
GSE144239_GSM4284317_17x27,7156.5,5075.9,45.11737368922783
GSE144239_GSM4284317_17x29,7547.3,5065.5,45.11737368922783
GSE144239_GSM4284317_17x31,7945.3,5065.5,45.11737368922783
GSE144239_GSM4284317_17x33,8353.7,5071.3,45.11737368922783
GSE144239_GSM4284317_17x35,8747.4,5071.4,45.11737368922783
GSE144239_GSM4284317_17x37,9149.7,5069.7,45.11737368922783
GSE144239_GSM4284317_17x39,9547.5,5070.4,45.11737368922783
GSE144239_GSM4284317_17x5,2743.1,5065.5,45.11737368922783
GSE144239_GSM4284317_17x7,3144.6,5073.5,45.11737368922783
GSE144239_GSM4284317_17x9,3548.4,5076.7,45.11737368922783
GSE144239_GSM4284317_18x10,3769.5,5257.4,45.11737368922783
GSE144239_GSM4284317_18x12,4168.4,5245.6,45.11737368922783
GSE144239_GSM4284317_18x14,4564.9,5247.8,45.11737368922783
GSE144239_GSM4284317_18x16,4970.5,5250.4,45.11737368922783
GSE144239_GSM4284317_18x18,5371.9,5255.7,45.11737368922783
GSE144239_GSM4284317_18x20,5774.8,5250.5,45.11737368922783
GSE144239_GSM4284317_18x22,6172.4,5243.6,45.11737368922783
GSE144239_GSM4284317_18x24,6573.3,5250.5,45.11737368922783
GSE144239_GSM4284317_18x26,6971.3,5260.1,45.11737368922783
GSE144239_GSM4284317_18x28,7373.9,5258.0,45.11737368922783
GSE144239_GSM4284317_18x30,7770.5,5243.3,45.11737368922783
GSE144239_GSM4284317_18x32,8169.7,5244.2,45.11737368922783
GSE144239_GSM4284317_18x34,8575.6,5256.1,45.11737368922783
GSE144239_GSM4284317_18x36,8966.5,5251.5,45.11737368922783
GSE144239_GSM4284317_18x38,9372.9,5237.0,45.11737368922783
GSE144239_GSM4284317_18x4,2561.3,5254.7,45.11737368922783
GSE144239_GSM4284317_18x6,2965.6,5252.0,45.11737368922783
GSE144239_GSM4284317_18x8,3364.7,5254.4,45.11737368922783
GSE144239_GSM4284317_19x11,3963.6,5437.7,45.11737368922783
GSE144239_GSM4284317_19x13,4364.7,5428.7,45.11737368922783
GSE144239_GSM4284317_19x15,4764.3,5434.5,45.11737368922783
GSE144239_GSM4284317_19x17,5174.5,5433.8,45.11737368922783
GSE144239_GSM4284317_19x19,5566.7,5437.6,45.11737368922783
GSE144239_GSM4284317_19x21,5963.9,5423.9,45.11737368922783
GSE144239_GSM4284317_19x23,6375.6,5428.7,45.11737368922783
GSE144239_GSM4284317_19x25,6759.4,5440.3,45.11737368922783
GSE144239_GSM4284317_19x27,7169.7,5434.9,45.11737368922783
GSE144239_GSM4284317_19x29,7567.4,5423.9,45.11737368922783
GSE144239_GSM4284317_19x3,2363.2,5439.9,45.11737368922783
GSE144239_GSM4284317_19x31,7972.9,5440.3,45.11737368922783
GSE144239_GSM4284317_19x33,8367.6,5433.4,45.11737368922783
GSE144239_GSM4284317_19x35,8780.6,5435.9,45.11737368922783
GSE144239_GSM4284317_19x37,9169.7,5427.6,45.11737368922783
GSE144239_GSM4284317_19x5,2755.3,5427.7,45.11737368922783
GSE144239_GSM4284317_19x7,3163.0,5432.7,45.11737368922783
GSE144239_GSM4284317_19x9,3573.3,5439.4,45.11737368922783
GSE144239_GSM4284317_20x10,3777.2,5618.6,45.11737368922783
GSE144239_GSM4284317_20x12,4164.7,5622.3,45.11737368922783
GSE144239_GSM4284317_20x14,4562.0,5607.9,45.11737368922783
GSE144239_GSM4284317_20x16,4963.5,5615.7,45.11737368922783
GSE144239_GSM4284317_20x18,5370.0,5615.5,45.11737368922783
GSE144239_GSM4284317_20x2,2160.3,5619.0,45.11737368922783
GSE144239_GSM4284317_20x20,5773.8,5611.7,45.11737368922783
GSE144239_GSM4284317_20x22,6176.7,5603.8,45.11737368922783
GSE144239_GSM4284317_20x24,6569.0,5616.0,45.11737368922783
GSE144239_GSM4284317_20x26,6977.8,5604.0,45.11737368922783
GSE144239_GSM4284317_20x28,7370.4,5617.2,45.11737368922783
GSE144239_GSM4284317_20x30,7771.0,5605.4,45.11737368922783
GSE144239_GSM4284317_20x32,8169.3,5604.8,45.11737368922783
GSE144239_GSM4284317_20x34,8559.8,5607.2,45.11737368922783
GSE144239_GSM4284317_20x4,2556.8,5616.2,45.11737368922783
GSE144239_GSM4284317_20x6,2965.6,5611.1,45.11737368922783
GSE144239_GSM4284317_20x8,3368.1,5615.2,45.11737368922783
GSE144239_GSM4284317_21x11,3974.8,5796.9,45.11737368922783
GSE144239_GSM4284317_21x13,4376.3,5791.3,45.11737368922783
GSE144239_GSM4284317_21x15,4770.8,5788.7,45.11737368922783
GSE144239_GSM4284317_21x17,5172.3,5792.4,45.11737368922783
GSE144239_GSM4284317_21x19,5570.0,5794.6,45.11737368922783
GSE144239_GSM4284317_21x21,5973.3,5786.5,45.11737368922783
