,yaxis,xaxis,r
Human_Breast_Andersson_10142021_ST_C3_10x10,2629.83,2586.33,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_10x11,2936.67,2559.68,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_10x12,3210.2,2570.11,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_10x13,3501.56,2571.56,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_10x14,3814.84,2582.27,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_10x15,4088.37,2574.45,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_10x16,4383.24,2566.05,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x10,2607.62,2850.53,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x11,2914.46,2864.14,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x12,3202.9,2857.77,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x13,3491.92,2863.85,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x14,3797.01,2852.55,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x15,4078.44,2865.01,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x16,4372.72,2870.22,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x17,4660.57,2869.93,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_11x9,2334.08,2844.73,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x10,2656.42,3196.7,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x11,2943.69,3202.21,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x12,3237.67,3189.17,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x13,3524.36,3203.65,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x14,3830.33,3194.38,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x15,4112.92,3214.08,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x16,4398.73,3219.88,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x17,4704.11,3195.54,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_12x9,2360.97,3205.1,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x10,2647.65,3504.35,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x11,2934.04,3498.56,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x12,3221.89,3507.83,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x13,3524.07,3502.9,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x14,3813.67,3498.85,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x15,4105.32,3470.75,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x16,4403.69,3482.04,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x17,4689.5,3509.85,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x18,4979.4,3509.27,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_13x8,2060.55,3504.64,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x10,2645.02,3747.98,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x11,2934.33,3750.58,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x12,3231.83,3736.39,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x13,3528.16,3741.6,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x14,3817.76,3750.87,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x15,4107.66,3770.57,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x16,4404.86,3763.33,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x17,4690.96,3756.38,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x18,4983.78,3768.54,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x19,5275.43,3764.2,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x8,2063.47,3755.22,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_14x9,2362.72,3787.95,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x10,2642.98,4036.51,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x11,2932.29,4041.14,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x12,3220.73,4053.31,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x13,3518.81,4048.38,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x14,3815.42,4051.28,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x15,4103.28,4044.62,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x16,4401.65,4042.3,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x17,4703.23,4045.49,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x18,4984.66,4036.8,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x19,5273.39,4042.01,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x8,2054.71,4034.77,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_15x9,2358.34,4035.06,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x10,2621.35,4345.89,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x11,2930.24,4333.15,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x12,3219.26,4328.8,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x13,3515.59,4334.59,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x14,3807.83,4330.54,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x15,4099.18,4342.42,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x16,4394.34,4337.49,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x17,4696.51,4328.8,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x18,4977.06,4338.36,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x19,5267.54,4351.69,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x20,5556.56,4345.02,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x7,1768.02,4358.35,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x8,2054.71,4334.88,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_16x9,2356.59,4333.73,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x10,2669.28,4624.28,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x11,2933.17,4619.94,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x12,3222.77,4612.69,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x13,3513.54,4601.69,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x15,4098.02,4622.54,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x16,4389.08,4623.41,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x17,4678.69,4629.5,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x18,4970.92,4619.07,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x19,5262.57,4617.91,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x20,5551.3,4624.86,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x7,1745.23,4593.0,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x8,2061.43,4601.4,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_17x9,2372.07,4626.89,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x10,2643.27,4912.23,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x11,2935.5,4893.69,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x12,3223.36,4908.75,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x13,3513.54,4915.42,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x14,3807.53,4918.31,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x15,4100.35,4899.77,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x16,4400.19,4906.73,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x17,4691.55,4912.52,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x18,4976.47,4938.3,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x19,5268.71,4911.36,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x6,1477.25,4916.0,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x7,1761.01,4908.18,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x8,2059.67,4935.99,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_18x9,2356.29,4918.89,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x10,2637.42,5192.07,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x11,2911.25,5195.84,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x12,3230.37,5202.21,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x13,3511.21,5201.05,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x14,3811.62,5193.52,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x15,4093.92,5220.46,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x16,4388.21,5219.01,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x17,4695.34,5212.93,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x18,4976.18,5188.88,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x19,5266.96,5208.29,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x6,1471.11,5187.72,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x7,1768.32,5190.33,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x8,2054.41,5179.61,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_19x9,2359.51,5178.45,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x10,2640.64,5544.91,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x11,2908.03,5545.78,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x12,3238.26,5537.67,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x13,3503.9,5541.72,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x14,3782.4,5532.74,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x15,4103.86,5528.4,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x16,4390.25,5524.92,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x17,4700.9,5534.77,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x18,4974.14,5555.63,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x6,1505.89,5537.96,72.42191943740627
Human_Breast_Andersson_10142021_ST_C3_20x7,1756.04,5529.84,72.42191943740627
