,yaxis,xaxis,r
Human_Breast_Andersson_10142021_ST_D2_10x12,3200.35,2577.56,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x13,3497.4,2571.18,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x14,3790.67,2584.51,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x15,4077.83,2599.59,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x16,4374.59,2593.5,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x17,4659.13,2589.44,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x18,4955.89,2581.91,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x19,5247.71,2581.04,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x20,5536.61,2596.69,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x21,5824.35,2581.33,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x22,6138.57,2592.63,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x23,6401.0,2604.52,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x24,6686.99,2585.96,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x25,6979.1,2591.18,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x26,7278.18,2595.24,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x27,7569.71,2603.94,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x28,7850.47,2590.31,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_10x29,8146.93,2587.99,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x12,3193.95,2873.84,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x13,3482.86,2879.35,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x14,3773.8,2881.67,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x15,4070.56,2868.33,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x16,4353.06,2876.45,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x17,4649.82,2881.67,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x18,4937.27,2890.08,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x19,5230.25,2889.21,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x20,5519.15,2874.71,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x21,5806.6,2884.86,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x22,6121.98,2883.41,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x23,6386.74,2884.28,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x24,6671.57,2889.5,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x25,6963.1,2882.25,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x26,7263.93,2885.73,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x27,7550.21,2877.61,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x28,7837.37,2883.99,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_11x29,8128.9,2898.77,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x12,3218.1,3217.09,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x13,3516.32,3216.8,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x14,3807.55,3212.16,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x15,4099.65,3211.58,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x16,4369.65,3213.03,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x17,4670.77,3222.89,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x18,4967.82,3233.9,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x19,5259.63,3206.36,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x20,5550.58,3212.45,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x21,5833.37,3221.44,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x22,6141.48,3220.28,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x23,6414.38,3225.5,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x24,6690.48,3231.3,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x25,7000.63,3221.44,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x26,7296.8,3222.6,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x27,7577.56,3211.58,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x28,7869.67,3239.12,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_12x29,8161.19,3215.93,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x12,3215.77,3498.3,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x13,3503.22,3507.87,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x14,3807.26,3509.03,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x15,4090.34,3503.23,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x16,4381.57,3503.52,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x17,4663.21,3499.46,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x18,4975.09,3479.74,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x19,5248.0,3497.43,72.47653100668175
Human_Breast_Andersson_10142021_ST_D2_13x20,5536.32,3514.82,72.47653100668175
