,yaxis,xaxis,r
Human_Breast_Andersson_10142021_ST_F2_10x10,2618.68,2571.42,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x11,2890.22,2573.75,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x12,3184.49,2575.2,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x13,3466.81,2569.38,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x14,3769.23,2583.65,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x15,4048.64,2580.15,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x16,4347.86,2583.94,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x17,4637.76,2582.78,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x18,4924.45,2583.36,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x19,5220.17,2588.02,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x2,271.83,2576.37,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x20,5489.38,2600.55,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x21,5805.21,2595.01,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x22,6085.49,2599.96,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x23,6378.3,2606.08,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x24,6660.33,2597.63,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x25,6954.89,2604.63,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x26,7245.36,2602.59,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x27,7541.09,2599.09,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x28,7823.7,2601.42,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x29,8122.63,2598.8,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x3,588.53,2579.86,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x30,8417.19,2604.63,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x31,8715.53,2608.12,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x32,8999.02,2607.54,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x4,885.71,2575.79,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x5,1177.36,2573.75,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x6,1471.62,2572.0,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x7,1739.09,2575.49,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x8,2044.42,2571.71,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_10x9,2309.26,2580.15,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x10,2608.48,2870.88,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x12,3181.87,2863.02,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x13,3462.73,2868.26,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x14,3767.19,2876.71,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x15,4053.3,2874.67,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x16,4347.57,2873.8,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x17,4634.26,2883.7,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x18,4924.45,2887.78,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x19,5205.02,2886.03,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x2,289.02,2870.01,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x20,5502.2,2879.33,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x21,5793.26,2890.99,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x22,6080.24,2899.43,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x23,6375.97,2895.94,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x24,6660.62,2899.43,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x25,6955.47,2881.08,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x26,7231.67,2893.61,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x27,7539.92,2888.95,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x28,7818.46,2902.35,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x29,8124.38,2898.56,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x3,589.41,2867.39,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x30,8420.68,2904.68,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x31,8703.59,2906.72,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x32,9001.93,2902.06,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x4,882.22,2874.96,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x5,1170.95,2868.26,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x6,1454.73,2863.02,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x7,1741.13,2867.39,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x8,2033.35,2877.58,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_11x9,2321.5,2873.51,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x10,2621.3,3188.71,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x11,2882.94,3194.82,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x12,3190.02,3199.19,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x13,3479.63,3193.66,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x14,3766.03,3194.82,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x15,4066.7,3203.27,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x16,4366.8,3202.11,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x17,4652.32,3202.4,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x18,4942.51,3206.19,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x19,5236.2,3204.15,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x2,306.5,3174.72,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x20,5517.93,3206.77,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x21,5809.29,3208.52,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x22,6094.23,3213.47,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x23,6389.95,3220.17,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x24,6687.13,3222.21,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x25,6974.99,3238.23,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x26,7260.81,3219.59,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x27,7546.92,3216.38,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x28,7840.6,3212.01,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x29,8143.9,3212.89,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x3,596.11,3190.75,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x30,8430.01,3219.59,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x31,8718.45,3214.92,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x32,9008.63,3215.51,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x4,896.2,3183.17,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x5,1189.3,3193.08,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x6,1485.9,3182.01,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x7,1762.1,3200.94,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x8,2040.93,3189.29,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_12x9,2327.62,3192.2,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x10,2617.51,3482.93,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x11,2894.59,3483.81,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x12,3209.25,3466.33,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x13,3485.75,3490.51,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x14,3770.11,3488.76,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x15,4076.03,3484.97,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x16,4359.51,3494.29,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x17,4649.12,3496.62,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x18,4946.88,3489.92,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x19,5232.12,3493.71,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x2,300.68,3481.48,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x20,5552.02,3496.33,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x21,5836.09,3494.58,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x22,6090.73,3502.45,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x23,6388.79,3502.16,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x24,6682.76,3507.11,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x25,6967.71,3513.23,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x26,7264.01,3510.9,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x27,7547.79,3500.99,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x28,7840.31,3505.07,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x29,8138.65,3498.37,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x3,598.44,3474.48,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x30,8426.22,3499.54,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x31,8727.19,3487.88,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x32,8982.12,3485.26,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x4,894.16,3473.03,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x5,1192.51,3475.94,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x6,1499.3,3452.93,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x7,1760.35,3477.4,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x8,2050.25,3475.94,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_13x9,2332.86,3477.4,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x10,2630.04,3761.14,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x11,2897.51,3756.77,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x12,3160.31,3771.04,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x13,3488.37,3759.97,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x14,3772.15,3760.55,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x15,4071.66,3768.71,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x16,4358.64,3768.71,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x17,4645.33,3772.5,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x18,4947.46,3769.29,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x19,5230.37,3771.33,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x2,294.27,3754.14,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x20,5477.73,3796.09,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x21,5809.29,3791.72,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x22,6087.53,3778.61,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x23,6382.09,3782.4,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x24,6680.14,3783.57,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x25,6969.75,3776.87,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x26,7257.31,3782.69,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x27,7541.96,3780.94,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x28,7837.1,3781.82,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x29,8121.46,3813.86,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x3,592.32,3765.8,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x30,8423.6,3791.14,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x31,8727.77,3793.76,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x4,890.37,3762.01,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x5,1174.15,3762.88,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x6,1486.19,3759.1,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x7,1754.24,3768.13,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x8,2042.68,3760.84,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_14x9,2326.74,3759.97,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x10,2613.73,4030.89,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x11,2900.13,4045.17,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x12,3154.77,4033.51,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x13,3501.19,4041.09,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x14,3771.27,4045.46,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x15,4084.19,4039.92,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x16,4358.06,4044.0,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x17,4647.95,4037.3,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x18,4934.64,4045.75,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x19,5226.0,4050.41,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x20,5499.58,4056.53,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x21,5809.58,4066.43,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x22,6084.32,4065.85,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x23,6376.26,4069.34,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x24,6676.94,4062.94,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x25,6954.3,4096.44,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x26,7256.73,4071.67,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x27,7543.13,4055.65,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x28,7845.26,4054.2,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x29,8130.5,4061.48,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x3,601.06,4026.52,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x30,8424.18,4064.39,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x32,9015.04,4068.18,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x4,881.34,4029.14,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x5,1172.11,4034.1,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x6,1480.07,4040.8,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x7,1750.16,4039.05,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_15x9,2341.89,4039.05,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x10,2577.6,4333.86,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x11,2900.42,4330.36,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x12,3191.19,4349.88,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x13,3476.42,4344.93,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x14,3767.48,4322.79,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x15,4056.22,4362.11,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x16,4346.11,4324.53,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x17,4648.83,4339.39,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x18,4931.15,4344.93,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x19,5233.28,4344.93,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x20,5509.48,4344.93,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x21,5806.08,4346.38,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x22,6101.22,4341.14,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x23,6381.5,4346.38,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x24,6685.09,4346.38,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x25,6946.44,4379.88,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x26,7269.84,4358.91,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x27,7523.32,4362.7,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x28,7840.31,4339.68,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x29,8138.94,4364.15,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x3,601.94,4331.82,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x30,8426.22,4363.86,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x32,9005.14,4356.58,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x4,888.34,4334.44,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x5,1179.11,4334.44,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x6,1477.16,4324.83,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x7,1753.94,4333.27,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x8,2039.47,4333.56,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_16x9,2343.93,4336.77,72.82811720253797
Human_Breast_Andersson_10142021_ST_F2_17x10,2605.57,4624.88,72.82811720253797
