,yaxis,xaxis,r
Human_Breast_He_06222020_ST_BC23268_D1_23x20,5507.6680000000015,6414.143,112.0
Human_Breast_He_06222020_ST_BC23268_D1_23x21,5795.561,6405.758000000002,112.0
Human_Breast_He_06222020_ST_BC23268_D1_23x22,6103.18,6412.303000000001,112.0
Human_Breast_He_06222020_ST_BC23268_D1_23x23,6381.111,6402.81,112.0
Human_Breast_He_06222020_ST_BC23268_D1_21x9,2297.195,5770.64,112.0
Human_Breast_He_06222020_ST_BC23268_D1_21x8,2017.406,5773.316,112.0
Human_Breast_He_06222020_ST_BC23268_D1_25x13,3469.643,6956.645,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x8,2033.003,2873.0840000000007,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x9,2311.121,2858.073,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x6,1464.152,2856.576,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x7,1736.537,2852.736,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x4,885.18,2867.159,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x2,296.86,2868.406,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x3,589.399,2865.768,112.0
Human_Breast_He_06222020_ST_BC23268_D1_20x22,6078.025,5505.236999999999,112.0
Human_Breast_He_06222020_ST_BC23268_D1_25x17,4642.505,6964.471,112.0
Human_Breast_He_06222020_ST_BC23268_D1_18x26,7256.935,4916.655,112.0
Human_Breast_He_06222020_ST_BC23268_D1_18x24,6672.861,4912.253,112.0
Human_Breast_He_06222020_ST_BC23268_D1_18x25,6962.636,4915.17,112.0
Human_Breast_He_06222020_ST_BC23268_D1_18x22,6092.085,4917.38,112.0
Human_Breast_He_06222020_ST_BC23268_D1_18x23,6378.58,4911.539000000002,112.0
Human_Breast_He_06222020_ST_BC23268_D1_18x20,5508.575,4911.743,112.0
Human_Breast_He_06222020_ST_BC23268_D1_18x21,5786.2530000000015,4910.6590000000015,112.0
Human_Breast_He_06222020_ST_BC23268_D1_26x8,2000.885,7234.031,112.0
Human_Breast_He_06222020_ST_BC23268_D1_5x16,4363.965,1131.781,112.0
Human_Breast_He_06222020_ST_BC23268_D1_22x13,3455.809,6075.255999999999,112.0
Human_Breast_He_06222020_ST_BC23268_D1_8x22,6094.268,2001.02,112.0
Human_Breast_He_06222020_ST_BC23268_D1_8x23,6383.731,2006.702,112.0
Human_Breast_He_06222020_ST_BC23268_D1_29x9,2309.561,8096.919,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x16,4347.835999999998,2861.965,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x17,4627.404,2869.085,112.0
Human_Breast_He_06222020_ST_BC23268_D1_31x18,4915.068,8721.305,112.0
Human_Breast_He_06222020_ST_BC23268_D1_8x16,4340.99,1990.56,112.0
Human_Breast_He_06222020_ST_BC23268_D1_11x12,3185.213,2853.073,112.0
