,yaxis,xaxis,r
Human_Breast_He_06222020_ST_BC23287_C2_6x29,8144.724,1435.955,112.0
Human_Breast_He_06222020_ST_BC23287_C2_23x22,6103.013000000001,6411.459,112.0
Human_Breast_He_06222020_ST_BC23287_C2_23x23,6389.931,6411.538000000001,112.0
Human_Breast_He_06222020_ST_BC23287_C2_23x24,6673.74,6407.733,112.0
Human_Breast_He_06222020_ST_BC23287_C2_23x27,7556.249,6416.199000000001,112.0
Human_Breast_He_06222020_ST_BC23287_C2_23x28,7852.576999999998,6417.286,112.0
Human_Breast_He_06222020_ST_BC23287_C2_20x21,5793.949000000001,5544.576,112.0
Human_Breast_He_06222020_ST_BC23287_C2_20x20,5504.004,5540.785,112.0
Human_Breast_He_06222020_ST_BC23287_C2_20x22,6080.854,5549.186,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x28,7845.361999999999,4939.279,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x29,8131.231,4936.911,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x26,7263.835,4938.627,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x27,7553.384,4938.224,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x24,6674.842,4934.011,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x25,6959.183000000001,4935.212,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x22,6092.772,4942.136,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x23,6384.486,4935.431,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x20,5520.7840000000015,4925.168,112.0
Human_Breast_He_06222020_ST_BC23287_C2_18x21,5805.224,4934.11,112.0
Human_Breast_He_06222020_ST_BC23287_C2_23x25,6972.069,6420.826,112.0
Human_Breast_He_06222020_ST_BC23287_C2_5x16,4359.157,1142.793,112.0
Human_Breast_He_06222020_ST_BC23287_C2_23x26,7260.318,6421.058000000001,112.0
