,yaxis,xaxis,r
Human_Breast_He_06222020_ST_BC24223_E2_23x20,5526.316999999999,6424.741999999998,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x21,5821.324000000001,6427.114000000001,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x22,6098.219,6423.644,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x23,6398.71,6418.301,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x24,6689.666,6426.656,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x25,6980.816,6427.883000000002,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x27,7560.95,6420.721,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x28,7852.434,6415.729,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x29,8153.8809999999985,6422.696999999999,112.0
Human_Breast_He_06222020_ST_BC24223_E2_7x32,9028.546,1743.703,112.0
Human_Breast_He_06222020_ST_BC24223_E2_20x22,6088.768,5545.589,112.0
Human_Breast_He_06222020_ST_BC24223_E2_25x17,4647.7840000000015,6991.189,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x28,7849.536,4934.139,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x29,8145.149,4941.971,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x26,7261.654,4940.474,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x27,7553.406999999998,4931.946,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x24,6675.391,4935.598,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x25,6969.4180000000015,4943.32,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x22,6087.911,4940.019,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x23,6404.481,4938.287,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x20,5517.451999999998,4934.388,112.0
Human_Breast_He_06222020_ST_BC24223_E2_18x21,5806.769,4936.332,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x26,7271.769,6425.599,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x22,6113.044,2037.749,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x23,6394.9940000000015,2028.968,112.0
Human_Breast_He_06222020_ST_BC24223_E2_9x20,5524.941999999999,2339.41,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x21,5811.976,2026.609,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x16,4354.889,2031.817,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x15,4066.632,2031.425,112.0
Human_Breast_He_06222020_ST_BC24223_E2_20x30,8422.595,5545.522,112.0
Human_Breast_He_06222020_ST_BC24223_E2_6x32,9028.878,1438.326,112.0
Human_Breast_He_06222020_ST_BC24223_E2_6x31,8733.46,1438.071,112.0
Human_Breast_He_06222020_ST_BC24223_E2_6x30,8440.025,1436.618,112.0
Human_Breast_He_06222020_ST_BC24223_E2_22x15,4047.767,6108.859,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x19,5232.654,6420.423000000002,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x18,4939.434,6419.055,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x15,4071.226,6418.076999999998,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x17,4659.653,6425.146,112.0
Human_Breast_He_06222020_ST_BC24223_E2_23x16,4364.916,6425.3,112.0
Human_Breast_He_06222020_ST_BC24223_E2_11x15,4056.843,2907.691,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x20,5521.03,2027.79,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x26,7271.701999999998,2024.027,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x27,7555.419,2029.356,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x24,6691.639,2032.557,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x25,6976.265,2037.856,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x28,7844.8319999999985,2030.332,112.0
Human_Breast_He_06222020_ST_BC24223_E2_8x29,8135.701999999998,2030.409,112.0
Human_Breast_He_06222020_ST_BC24223_E2_11x18,4930.3690000000015,2904.0,112.0
Human_Breast_He_06222020_ST_BC24223_E2_11x19,5213.657999999999,2904.213,112.0
Human_Breast_He_06222020_ST_BC24223_E2_26x19,5226.083,7278.161999999998,112.0
Human_Breast_He_06222020_ST_BC24223_E2_17x16,4364.097,4656.25,112.0
Human_Breast_He_06222020_ST_BC24223_E2_17x17,4650.39,4645.858,112.0
Human_Breast_He_06222020_ST_BC24223_E2_26x18,4928.686,7282.27,112.0
Human_Breast_He_06222020_ST_BC24223_E2_17x15,4061.436,4645.76,112.0
Human_Breast_He_06222020_ST_BC24223_E2_17x18,4943.236,4642.528,112.0
Human_Breast_He_06222020_ST_BC24223_E2_17x19,5225.559,4642.378,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x26,7272.766,2601.436,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x27,7556.553000000001,2599.652,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x24,6685.884,2607.718,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x25,6974.301,2606.709,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x22,6097.298000000002,2603.124,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x23,6398.842,2608.335,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x20,5522.547,2607.81,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x21,5811.767,2605.981,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x28,7852.164000000002,2606.231,112.0
Human_Breast_He_06222020_ST_BC24223_E2_10x29,8143.172,2604.554,112.0
Human_Breast_He_06222020_ST_BC24223_E2_7x16,4360.389,1735.2879999999998,112.0
Human_Breast_He_06222020_ST_BC24223_E2_7x17,4654.09,1739.348,112.0
Human_Breast_He_06222020_ST_BC24223_E2_7x15,4071.036,1734.239,112.0
Human_Breast_He_06222020_ST_BC24223_E2_7x18,4938.014,1729.807,112.0
Human_Breast_He_06222020_ST_BC24223_E2_7x19,5236.377,1733.6070000000002,112.0
Human_Breast_He_06222020_ST_BC24223_E2_14x23,6399.337,3782.024,112.0
Human_Breast_He_06222020_ST_BC24223_E2_21x17,4643.373,5812.004,112.0
