,yaxis,xaxis,r
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x10,2642.7,3707.2,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x11,2869.5,3716.5,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x12,3083.4,3722.4,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x13,3299.0,3716.3,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x14,3517.4,3731.5,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x15,3715.2,3730.3,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x16,3959.5,3709.4,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x6,1780.8,3700.7,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x7,1988.7,3720.6,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x8,2205.6,3713.4,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x10x9,2434.6,3704.4,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x10,2634.2,3934.2,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x11,2869.1,3931.7,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x12,3068.5,3929.7,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x13,3290.6,3927.4,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x14,3516.8,3920.1,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x15,3726.0,3940.2,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x16,3941.6,3937.6,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x17,4174.9,3932.3,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x18,4381.7,3937.2,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x6,1777.3,3927.6,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x7,1976.1,3924.8,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x8,2195.9,3937.3,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x11x9,2420.3,3935.7,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x10,2656.2,4189.7,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x11,2873.7,4174.9,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x12,3096.1,4175.6,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x13,3312.8,4172.2,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x14,3536.5,4191.1,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x15,3757.8,4183.1,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x16,3967.4,4182.9,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x17,4192.1,4186.6,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x18,4399.8,4189.8,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x19,4614.7,4184.2,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x24,5716.7,4184.9,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x4,1355.6,4182.2,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x5,1584.4,4184.9,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x6,1794.0,4182.8,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x7,2024.2,4171.6,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x8,2219.3,4177.3,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x12x9,2453.1,4174.1,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x13x10,2651.7,4393.9,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x13x11,2869.5,4395.3,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x13x12,3078.8,4399.7,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x13x13,3311.8,4368.8,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x13x14,3538.2,4389.7,54.143206854345166
Human_Heart_Asp_12122019_ST_ST_Sample_9PCW_3_16x13x15,3742.1,4405.0,54.143206854345166
