,yaxis,xaxis,r
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_12.145x7.007,1754.6446999999998,3235.9507500000004,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_10.828x6.949,1737.7029000000002,2853.5598,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_9.882x6.947,1737.1187,2578.8887000000004,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_9.123x6.948,1737.4108,2358.51305,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_9.924x8.905,2309.0505000000003,2591.0834,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_9.055x8.925,2314.8925000000004,2338.7692500000003,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_9.056x7.913,2019.2873000000004,2339.0596,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_9.784x7.916,2020.1636000000003,2550.4344000000006,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_10.8x8.912,2311.0952000000007,2845.4300000000007,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_12.119x8.992,2334.4632000000006,3228.4016500000002,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_10.823x7.919,2021.0399000000002,2852.1080500000003,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_12.106x7.978,2038.2738000000004,3224.6271,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_15.858x7.019,1758.1499000000003,4314.0203,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_15.03x7.018,1757.8578000000002,4073.6105000000002,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_14.041x7.02,1758.442,3786.4543500000004,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_13.028x7.014,1756.6894000000002,3492.3298000000004,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_14.013x7.958,2032.4318000000003,3778.3245500000003,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_13.055x8.974,2329.2054000000003,3500.1692500000004,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_14.045x8.966,2326.8686000000002,3787.6157500000004,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_12.98x7.97,2035.9370000000004,3478.3930000000005,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_15.021x8.99,2333.8790000000004,4070.997350000001,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_15.875x8.991,2334.1711,4318.95625,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_15.055x7.956,2031.8476000000005,4080.86925,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_16.008x9.931,2608.7451,4357.5728,72.5875
Mouse_OlfactoryBulb_Stahl_07012016_ST_Rep5_15.034x9.931,2608.7451,4074.7719,72.5875
