"sid","tech","species","tissue","involve_cancer","count_matrix_dir"
"GSE144239_GSM4284316","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284316_count.csv"
"GSE144239_GSM4284317","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284317_count.csv"
"GSE144239_GSM4284318","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284318_count.csv"
"GSE144239_GSM4284319","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284319_count.csv"
"GSE144239_GSM4284320","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284320_count.csv"
"GSE144239_GSM4284321","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284321_count.csv"
"GSE144239_GSM4284322","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284322_count.csv"
"GSE144239_GSM4284323","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284323_count.csv"
"GSE144239_GSM4284324","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284324_count.csv"
"GSE144239_GSM4284325","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284325_count.csv"
"GSE144239_GSM4284326","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284326_count.csv"
"GSE144239_GSM4284327","ST","human","skin","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/GSE144239_GSM4284327_count.csv"
"Human_Breast_Andersson_10142021_ST_A1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_A1_count.csv"
"Human_Breast_Andersson_10142021_ST_A2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_A2_count.csv"
"Human_Breast_Andersson_10142021_ST_A3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_A3_count.csv"
"Human_Breast_Andersson_10142021_ST_A4","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_A4_count.csv"
"Human_Breast_Andersson_10142021_ST_A5","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_A5_count.csv"
"Human_Breast_Andersson_10142021_ST_A6","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_A6_count.csv"
"Human_Breast_Andersson_10142021_ST_B1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_B1_count.csv"
"Human_Breast_Andersson_10142021_ST_B2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_B2_count.csv"
"Human_Breast_Andersson_10142021_ST_B3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_B3_count.csv"
"Human_Breast_Andersson_10142021_ST_B4","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_B4_count.csv"
"Human_Breast_Andersson_10142021_ST_B5","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_B5_count.csv"
"Human_Breast_Andersson_10142021_ST_B6","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_B6_count.csv"
"Human_Breast_Andersson_10142021_ST_C1","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_C1_count.csv"
"Human_Breast_Andersson_10142021_ST_C2","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_C2_count.csv"
"Human_Breast_Andersson_10142021_ST_C3","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_C3_count.csv"
"Human_Breast_Andersson_10142021_ST_C4","ST","human","breast","True","/Users/zhiningsui/GitHub/STimage-1K4M/ST/gene_exp/Human_Breast_Andersson_10142021_ST_C4_count.csv"
