"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"19x5",0.0018133719126722,0.262762855029919,0.00188511252439912,0.0280975070419766,0.00139296377039142,0.0819505421091806,0.0120100867795484,0.597728518372495,0.012359042459418,"BC23209_C1"
"20x5",0.00122365652486255,0.153075528925449,0.00135960480280649,0.0199543179646086,0.0148697349693716,0.138102355260549,0.000668594185500947,0.669849367182702,0.00089684018414994,"BC23209_C1"
"18x6",0.00424319779023838,0.000523200039453904,0.000239484338316056,0.104975806545419,7.45883846472358e-05,0.354743956737047,0.143986433966431,0.386568546864391,0.00464478533405729,"BC23209_C1"
"19x6",0.0100536481612515,0.157469502759612,0.0100615619132092,0.481023600251467,0.011550974218014,0.0349347482798865,0.00947463333040606,0.263536256723668,0.0218950743624859,"BC23209_C1"
"20x6",2.02282179844824e-05,0.110933622702816,3.15356073240785e-05,0.00580276788006476,0.000228920304227616,0.0429067910676505,0.00334607328248401,0.836515164171701,0.000214896765746847,"BC23209_C1"
"17x6",0.0877014499864845,0.112643460481321,0.0334147435946421,0.309888366099125,0.0311941175911089,0.047140966858109,0.045497206338728,0.112458663387177,0.220061025663305,"BC23209_C1"
"19x7",0.00135466539437612,0.317812275720225,0.00292474241626996,0.32728935533285,0.0155446091363571,0.0419910524007165,0.00146745983525002,0.286448918218045,0.00516692154591047,"BC23209_C1"
"18x7",0.00408914487811671,0.0703770059101317,0.00355290538751511,0.415320891561909,0.0389854620940721,0.176678361759436,0.0313112741609472,0.201132815361454,0.0585521388864184,"BC23209_C1"
"17x7",0.015024270755049,0.267457340923551,0.0190179719381354,0.146241255814855,0.0164219017279146,0.272795239285177,0.0327735612700399,0.207532660968447,0.0227357973168307,"BC23209_C1"
"20x7",0.000112599166195238,0.0764075274924848,0.000764411901461918,0.00224153790854869,4.29443873494339e-05,0.124688110229128,2.01508472276045e-05,0.79565119428337,7.15237842349084e-05,"BC23209_C1"
"16x7",0.0369790743364741,0.0896806094091583,0.01254267985949,0.35762358970193,0.0812318135506755,0.0820328163107761,0.136919990858251,0.0105927953785565,0.192396630594689,"BC23209_C1"
"20x8",0.00948275998570332,0.182389205832873,0.0139972032417453,0.0231745005832636,0.0024598142956963,0.114777186274028,0.00712491942229136,0.645250288187901,0.00134412217649907,"BC23209_C1"
"16x8",0.0218902287969469,0.131558766587537,0.0199567755053781,0.375791219723837,0.0191566697752043,0.0149869622656815,0.0854388975132881,0.0982333858107297,0.232987094021397,"BC23209_C1"
"19x8",0.0472912699014298,0.302463951671519,0.0188530696251691,0.242784770251751,0.0010794316379123,0.0946051256464694,0.0112554496736211,0.279788610719547,0.00187832087258185,"BC23209_C1"
"14x8",0.0279172600224743,0.0150295168410786,0.00810791367721231,0.275899380072563,0.0483365022151609,0.0291854300902035,0.224136903421685,0.109274739453513,0.26211235420611,"BC23209_C1"
"17x8",0.0314240236360862,0.15148461302853,0.0204693690716838,0.216548126372093,0.0089371903803629,0.337514907084363,0.0222381800145929,0.180793044010007,0.0305905464022809,"BC23209_C1"
"18x8",0.00881636947400234,0.192060010152111,0.00698538662681718,0.155728047556768,0.00629337155989368,0.14678608129843,0.00497839546691171,0.457738278867806,0.0206140589972603,"BC23209_C1"
"13x8",0.0367139333933472,0.0627889049154944,0.0173282515395839,0.045295692788239,0.0574738182069828,0.0101905009435178,0.467245911904344,0.022300907369201,0.28066207893929,"BC23209_C1"
"21x9",0.00685296948080853,0.257145607506962,0.0133785480230907,0.481003595634776,0.00785294347167622,0.0922253797153569,0.00125655550808496,0.138692272269619,0.00159212838962442,"BC23209_C1"
"10x9",0.0483846275051484,0.0165335046825997,0.0153360707164659,0.530081047027215,0.0970504277921897,0.00381314065957824,0.0823149861509826,0.0227093337058352,0.183776861759986,"BC23209_C1"
"20x9",0.0198810087239616,0.162752656900174,0.00920335149712507,0.60491458812418,0.0172162855389038,0.0428772615031191,0.00615533003975461,0.128571402538898,0.00842811513388421,"BC23209_C1"
"16x9",0.0200414139623024,0.145787902186279,0.00176395232366382,0.222389997441121,0.0249613401470649,0.232376961216419,0.214051738085158,0.0629034122189575,0.0757232824190352,"BC23209_C1"
"19x9",0.0205527479072974,0.21307825616424,0.0174352675771501,0.478975397158826,0.0141585973710582,0.0633898790756354,0.015037985012431,0.158986539649363,0.0183853300839991,"BC23209_C1"
"13x9",0.129166710462358,0.0516157731799876,0.0273366135747129,0.311806633524208,0.0140216065077826,0.0286649328198253,0.130754884706876,0.0172282694815818,0.289404575742667,"BC23209_C1"
"18x9",0.00345872875888275,0.291006644839604,0.015895506738319,0.123996851461582,0.00435494502402652,0.253522075217602,0.00272051279242535,0.295885215454048,0.00915951971351088,"BC23209_C1"
"15x9",0.0712492607395482,0.215023741683952,0.0283150670122176,0.200067023243469,0.0794194028234282,0.048655913141079,0.0858463848721735,0.0329035639253769,0.238519642558755,"BC23209_C1"
"17x9",0.00526410964499871,0.249233573337882,0.00545625316642074,0.35806147366165,0.017152143626916,0.169232345145677,0.00509555576273217,0.167087266120042,0.02341727953368,"BC23209_C1"
"12x9",0.0506637845708145,0.0920410295355644,0.0227759497365402,0.273865779476557,0.0153327630616854,0.00649140644120586,0.175589301057565,0.292281003263257,0.0709589828568093,"BC23209_C1"
"14x9",0.046224745609829,0.0794970842365523,0.0394791550053241,0.459198027350803,0.0219526058760532,0.109189805368422,0.0398814384175114,0.00733449658730789,0.197242641548197,"BC23209_C1"
"21x10",0.00180698600463193,0.312381292951648,0.00179670745362152,0.108955519205015,0.00318839757505423,0.0865005446439628,0.00415975614115741,0.479393152829244,0.00181764319566597,"BC23209_C1"
"20x10",0.0248365111638494,0.310919692800189,0.00787197857044405,0.250988961310323,0.003292112087129,0.150723088765593,0.00894155201699739,0.23738835566589,0.00503774761958537,"BC23209_C1"
"19x10",0.00243944361093719,0.360123768490452,0.0106107837399943,0.313993873723697,0.0463629377336936,0.112741839527075,0.0122336657750613,0.100063375184578,0.0414303122145128,"BC23209_C1"
"18x10",0.00221891034850796,0.299847922317909,0.00147394777031422,0.323973489194579,0.00649453315037054,0.0773644256152622,0.00530489591205285,0.276090635245373,0.00723124044563119,"BC23209_C1"
"9x10",0.00601875179820491,0.00760718032828078,0.00328910306749984,0.613788261463922,0.0671912156251775,0.00147553091832006,0.180913171517048,0.00800671027445697,0.11171007500709,"BC23209_C1"
"16x10",0.0217756692106305,0.136520362904042,0.00868511767245023,0.472200404160355,0.0289221122316633,0.0716210426239853,0.0893589559037742,0.0735040739239228,0.0974122613691768,"BC23209_C1"
"17x10",0.0488385930947368,0.258971607612366,0.0589193104593388,0.252338596537706,0.00478678670237973,0.111600417952329,0.0172641263986083,0.202952270199904,0.0443282910426301,"BC23209_C1"
"12x10",0.00895592959396408,0.101761085175202,0.0204294712391386,0.689300845051049,0.0221674941566162,0.00234673251565173,0.0205629987181632,0.091526516210157,0.042948927340058,"BC23209_C1"
