"","Endothelial","CAFs","PVL","Plasmablasts","T-cells","Myeloid","Cancer Epithelial","Normal Epithelial","B-cells"
"11x2",6.12164954948855e-05,0.131780431572098,0.141002560132202,0.283230095993779,4.84896891284312e-05,0.239770689718359,0.203895488715925,0.000207890365176143,3.13731783768864e-06
"10x3",0.0218378586076662,0.236694802559819,0.0627174619020664,0.0157154129890371,0.00171122995945975,0.212179801041375,0.410434944736099,0.0373207257332495,0.00138776247122788
"11x3",0.0352153913734943,0.18369471168314,0.292419888759375,0.0854716118776961,0.0736127905092097,0.166382928829083,0.128523225941221,0.00745211297654935,0.0272273380502329
"13x3",0.00403603113982911,0.156968335914904,0.096899637691784,0.35252598860387,0.000356476296631824,0.175858912468531,0.210538070288907,0.00242033779055895,0.000396209804984346
"12x3",0.0226405432046724,0.0978474753934766,0.0180049223024224,0.361205522970763,0.180945843226367,0.145472606857193,0.0613563600824328,0.023528569954178,0.0889981560084949
"14x3",0.00402026776738725,0.342114658345497,0.127033398762347,0.0380354345714454,0.000413630560417953,0.136263837264042,0.330036564612266,0.0202719056202161,0.00181030249638106
"10x4",0.00454408754498396,0.343576779923273,0.00268265971963588,0.03027724580776,0.00879168694986149,0.136538956534609,0.422321083931786,0.030138599317936,0.0211289002701541
"11x4",0.0279491944174046,0.170502513016651,0.0165049309414137,0.44755975253969,0.00376467645005716,0.165538085865223,0.155923838111211,0.00596847232277263,0.00628853633557667
"15x4",0.000819609904647543,0.403189630669009,0.0789012583733375,0.245791976093113,0.000363299224756442,0.0526886143703554,0.210021753133823,0.00789620437220317,0.000327653858755648
"13x4",0.00230923552952885,0.264153111394774,0.00250584779778914,0.475637877678282,0.000280092526784624,0.117150990392752,0.131801854723387,0.00555924124322435,0.000601748713478486
"14x4",0.00197567181305782,0.34483197856063,0.103324308562267,0.111033249490853,0.00321732315967689,0.114068081599307,0.304839626881176,0.0147996921566361,0.00191006777639631
"12x4",0.049184496170568,0.219371898702167,0.0574036881467504,0.121689826674834,0.0894124629843651,0.288824444598833,0.128789607280025,0.0133364189112272,0.0319871565312296
"11x5",0.00719188712967145,0.14194750841524,0.0212134805701832,0.448085635817157,0.00179857951347288,0.218455307820129,0.146763634936481,0.0120912913886792,0.00245267440898625
