"","Endothelial","CAFs","PVL","Plasmablasts","T-cells","Myeloid","Cancer Epithelial","Normal Epithelial","B-cells","sid"
"21x12",0.0358212605317811,0.104803361470379,0.0174362245931421,0.517052076398043,0.0027356627644943,0.0630756466307479,0.224949408830143,0.0235382139056922,0.0105881448755775,"BC23270_D2"
"22x12",0.0252899121095773,0.0878629831881745,0.0141898166627642,0.588579871004357,0.00373990202523366,0.0327280727089529,0.230780176684298,0.0100782998736317,0.00675096574301054,"BC23270_D2"
"24x12",0.000148041485788597,0.00333949831040412,0.00024154814950632,0.990365450557441,2.64333330754525e-07,0.0058797438662668,1.95096785888025e-05,1.42693228469496e-06,4.51668638927726e-06,"BC23270_D2"
"23x12",0.0204492987061897,0.14533037184418,0.0270739384913118,0.693676222658058,0.00249597580119569,0.0156162153564677,0.057472423754802,0.0120437939001859,0.0258417594876098,"BC23270_D2"
"20x13",0.0415262699352673,0.173210705964402,0.0294106872288888,0.47628683576296,0.00869432570557624,0.0562509722106378,0.168431932854015,0.018146429845716,0.0280418404925362,"BC23270_D2"
"21x13",0.0608167560661673,0.117088141351399,0.0121335327681091,0.324232048757425,0.0118608429519051,0.0455776071056462,0.357583276571344,0.0370084595708644,0.0336993348571397,"BC23270_D2"
"22x13",0.06378998334575,0.118967172564505,0.0313677175473143,0.307852532395055,0.0470990149820199,0.0792561150981994,0.273144646639146,0.0505853506652247,0.0279374667627856,"BC23270_D2"
"18x13",0.0297031854682744,0.0889736979667829,0.00943466471022134,0.648124064236409,0.00192588218764811,0.116749349978843,0.091862088487338,0.00474180231274017,0.00848526465174227,"BC23270_D2"
"16x13",0.0150749183879361,0.114099135860379,0.0577122400265172,0.387280656703549,0.0842376410855321,0.107713084936097,0.036036528609893,0.028884633799877,0.168961160590219,"BC23270_D2"
"23x13",0.0371587636774879,0.125635102828563,0.024100071830054,0.307631985458847,0.00564917753296508,0.0534340201595858,0.412180561506354,0.0248821042602317,0.00932821274591155,"BC23270_D2"
"24x13",0.104642097835631,0.141897485861735,0.00996175937914318,0.502742105922873,0.00286758978979051,0.0490876689984545,0.172623007328175,0.0107967058567153,0.0053815790274831,"BC23270_D2"
"15x13",0.0164930297605911,0.0391415772442953,0.00919723707420594,0.209497925681116,0.0887650058433108,0.0395718576588974,0.0175805592603467,0.013602976216949,0.566149831260288,"BC23270_D2"
"19x13",0.0452500052247858,0.162055724522442,0.0180579363237131,0.477066291173764,0.00300909795559273,0.0498566251098569,0.213470696632507,0.0206295978105442,0.0106040252467933,"BC23270_D2"
"25x13",0.0680504163183252,0.133882145778276,0.0197853515208982,0.347355750087755,0.00583704247417105,0.0763038145406123,0.257589839710808,0.0670542661375119,0.0241413734316426,"BC23270_D2"
"22x14",0.0691095150110141,0.161700243922928,0.0230634700772668,0.0993144264359726,0.00608408361260794,0.0664345704618145,0.532585229403683,0.0288350776821676,0.0128733833925456,"BC23270_D2"
"21x14",0.0646189945135758,0.115765839669244,0.0254673662999492,0.148433219786999,0.0265515449759696,0.0918300053234979,0.413728708298435,0.067387960326148,0.046216360806182,"BC23270_D2"
"19x14",0.0527159142725619,0.0833014733646551,0.0219804964580718,0.301248545677377,0.0130352463602748,0.0525066235503109,0.355786693746871,0.0482325028372399,0.0711925037326378,"BC23270_D2"
"16x14",0.00770705508482725,0.116440380283506,0.0183895218912389,0.63822117693141,0.00520556932697982,0.113735727540636,0.0646760859386968,0.0136677062362487,0.021956776766457,"BC23270_D2"
"15x14",0.00877136618797662,0.101703143337139,0.0133629046673858,0.564761918092965,0.0322296420810462,0.0736804026944566,0.0265352372410539,0.0188623164271744,0.160093069270802,"BC23270_D2"
"20x14",0.0608814034788527,0.117836411382553,0.022110888428474,0.241278714817224,0.014884981354604,0.0394498784985182,0.446868280680687,0.0355543270164248,0.0211351143426619,"BC23270_D2"
"17x14",0.043430003896851,0.0702665690493401,0.00566847596637778,0.728201933788069,0.00172907681662781,0.0840189591840714,0.0448915864921689,0.00710274047214505,0.0146906543343488,"BC23270_D2"
"23x14",0.0189153746924329,0.169118937743074,0.00855043740675871,0.17378848059556,0.0066725413917196,0.124792914427166,0.454445595943558,0.0349906020396557,0.00872511576007465,"BC23270_D2"
"18x14",0.0115645871870513,0.099136783427828,0.0108583190360165,0.646701879397063,0.00400250013373943,0.0502379388918174,0.142319991086425,0.0206752288078756,0.0145027720321837,"BC23270_D2"
"14x14",0.0322361593017443,0.0980757585735375,0.0187542541903007,0.663263381237831,0.00301593363500645,0.0872887716207093,0.0398441187837261,0.00852788588697788,0.0489937367701668,"BC23270_D2"
"13x14",0.00914278743352511,0.103525688114266,0.00639300791003173,0.633705943538227,0.00505329250774888,0.0695034569119043,0.135777320779973,0.00653919400290247,0.0303593088014223,"BC23270_D2"
"24x14",0.111270879238644,0.132068949142325,0.0759350026933434,0.428194957573746,0.00495719400225933,0.0239162994096011,0.193428158770636,0.0194047743453153,0.0108237848241287,"BC23270_D2"
"25x14",0.0708065574554061,0.124961737420971,0.022114416382785,0.280229561425807,0.0262611571046366,0.0645758489291052,0.278867635332687,0.0158211885335315,0.116361897415071,"BC23270_D2"
"22x15",0.0753974790843158,0.143209311271635,0.0212585261459661,0.0858382092926794,0.00480919484302638,0.114122004437486,0.508801194863588,0.0331567519795176,0.0134073280817867,"BC23270_D2"
"21x15",0.0723981117674171,0.11429056380211,0.0196941208797143,0.228455700676829,0.00520751380190608,0.0949572500777405,0.432367638200185,0.0251328873193507,0.00749621347474738,"BC23270_D2"
"20x15",0.181829555416648,0.118329391808941,0.049179376939805,0.0738797824875393,0.00477349030597849,0.0897108050921467,0.41740577912947,0.0467275572842934,0.0181642615351784,"BC23270_D2"
"23x15",0.0655484650535693,0.116296226326238,0.0234561367687891,0.243003841797605,0.0126665207216264,0.0789466188775316,0.398777532180384,0.0285374831444652,0.0327671751297916,"BC23270_D2"
"11x15",0.0611475864688446,0.092061538102575,0.0542171318765098,0.368269715432197,0.0385795813527291,0.107530576252906,0.171981237038243,0.0357146517971719,0.0704979816788242,"BC23270_D2"
"18x15",0.0732557319224953,0.0846063778057559,0.0451888563821969,0.22894448111595,0.00777545524700022,0.0409248938139899,0.472280683941591,0.0343859580734339,0.0126375616975865,"BC23270_D2"
"19x15",0.0793847028907245,0.161280719577317,0.0166534654471593,0.108342351465827,0.00811135863838787,0.0719732180678882,0.49814412497931,0.0389535800826409,0.0171564788507453,"BC23270_D2"
