"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"16x9",0.112789267984553,0.106075271621284,0.0355786321071996,0.00200375699846301,0.00672405539548052,0.0606772525718412,0.0188794053015857,0.428449298020783,0.22882305999881,"BC23450_D2"
"14x9",0.0988199427801382,0.142178657780003,0.0158343067396662,0.000517983992480562,0.00275996165469656,0.0185087226193188,0.00464595973041615,0.469670706648307,0.247063758054974,"BC23450_D2"
"15x9",0.0680410327669336,0.0971694567975267,0.0381402297403985,0.00103472054277627,0.00372858667418165,0.0424122273705417,0.0106252781835273,0.343419225890982,0.395429242033133,"BC23450_D2"
"15x10",0.146163401434989,0.123471271831998,0.0467607229289295,0.00200231641089643,0.00813559919828623,0.0620530910014148,0.00472467525444806,0.327216417785369,0.279472504153669,"BC23450_D2"
"16x10",0.14965359377641,0.105925705994963,0.0211140460497926,6.8488517681299e-05,0.00136434460601358,0.0204989465532867,0.00660492296448306,0.287430733004881,0.407339218532488,"BC23450_D2"
"17x10",0.18223104109371,0.0918788729643746,0.024137218065223,0.00529183877580967,0.0144787324012121,0.0523597472592939,0.0157746437124555,0.402496811101364,0.211351094626557,"BC23450_D2"
"14x10",0.0723712201689101,0.108644690004254,0.0498138977185418,0.00604396057528938,0.0240258486919057,0.0608723163571709,0.0130449557318917,0.461758139132383,0.203424971619653,"BC23450_D2"
"13x10",0.0736027171259557,0.0795661116949194,0.0494052006441402,0.00279196539679057,0.00916109541349908,0.0350060599992028,0.00718318092193674,0.616809950858635,0.126473717944921,"BC23450_D2"
"13x11",0.0635477009971579,0.0963648212365059,0.0597777673108464,0.000485141768640194,0.00236221392689035,0.0354232780947327,0.00601738865670047,0.585282309696818,0.150739378311708,"BC23450_D2"
"17x11",0.131581846352566,0.109294397369444,0.0361296346561409,0.00354370115536918,0.0186113952966552,0.0559564804143538,0.00839059621647086,0.395939335852158,0.240552612686842,"BC23450_D2"
"16x11",0.215198303535239,0.143182171325838,0.0318043732773658,0.00159627488337436,0.0100336850758513,0.0853480657675047,0.00873462418623593,0.289842735393044,0.214259766555547,"BC23450_D2"
"15x11",0.11628242158196,0.0769686547581414,0.0301375556543267,0.00128607219591852,0.006526044852954,0.0491112740504268,0.00579000847836101,0.533749859694345,0.180148108733567,"BC23450_D2"
