"","Endothelial","CAFs","PVL","Plasmablasts","T-cells","Myeloid","Cancer Epithelial","Normal Epithelial","B-cells"
"3x7",0.0226017693066849,0.0297545741512358,0.0162009216566889,0.177097152726098,0.0637191944997969,0.015625101820859,0.407239411255628,0.0837018256320547,0.184060048950953
"2x7",0.0243944489505729,0.0406446101999865,0.0165975874088997,0.201519150763792,0.0999709335804096,0.0263132595084746,0.372455576737149,0.0634070720802073,0.154697360770508
"6x8",0.0224106344338148,0.0317346749721474,0.0150145064373884,0.260493304567419,0.0309446189102291,0.0210464944456722,0.451723775684164,0.0584827221640421,0.108149268385123
"5x8",0.0191331969038941,0.0128257907849148,0.0123011739220195,0.293982160799058,0.0137221747722538,0.0117222845402299,0.568861534146415,0.0135597166439183,0.053891967487297
"3x8",0.0365568849170063,0.0224029238958282,0.0147719532604476,0.20200777763165,0.0777817328395782,0.0107494969128021,0.428796218063069,0.0361099656605873,0.170823046819031
"4x8",0.0204415863507635,0.0277269108130406,0.00803485502213444,0.209923348529729,0.0616992102706232,0.0114377792233817,0.386874651125602,0.0866721357885109,0.187189522876215
"2x8",0.0300490802435795,0.0317286407263673,0.0183656912313325,0.201266101584879,0.093536196197713,0.0190925836127964,0.442642179852229,0.0584073897212212,0.104912136829882
"9x9",0.0285180143792807,0.0311924602901136,0.0104888330488586,0.260026543635031,0.0710179253272727,0.0222995470073305,0.377405797836755,0.0715013964805799,0.127549481994778
"10x9",0.0181299364684111,0.039687218706669,0.01259011086379,0.292095847489667,0.0348622016489315,0.0236057882750699,0.380369907212749,0.101196494784916,0.0974624945497965
"4x9",0.0269034530703255,0.0343872163301274,0.00875568734765771,0.243141096399827,0.0587931931654279,0.0291871654307143,0.446225893955457,0.043690848008457,0.108915446292006
"6x9",0.0252315649259856,0.0366416157424848,0.00550987307173062,0.319874467036839,0.0276523334089318,0.0626052453706861,0.434579785568802,0.0503138433608898,0.0375912715136509
"3x9",0.0330207405400927,0.0429743984317392,0.0145635842897721,0.267607202894638,0.0374512885111892,0.0395939361181081,0.45486350139612,0.0440674517568968,0.0658578960614429
"5x9",0.0329587006275639,0.0429181396485261,0.0206741186379284,0.238911221821357,0.0253739961829096,0.0602116076616007,0.42994567840035,0.0313545815451012,0.117651955474664
"7x9",0.0199826652145027,0.0265976507587981,0.0117869868783614,0.297795683492192,0.0398635330290706,0.0286051581567628,0.427842163270526,0.0379401097251586,0.109586049474628
"2x9",0.0281047294005744,0.0362185717794711,0.0121714841576447,0.192120936976799,0.0335877646908398,0.0448628911699945,0.476018539290323,0.0721389301635161,0.104776152370837
"11x10",0.0309538279417057,0.0267375281041646,0.0127385833732732,0.211898637709647,0.0669867095780453,0.0174162318075159,0.51122931009202,0.0544388893457152,0.0676002820479132
"10x10",0.0143730848109639,0.0693175964916355,0.00907029342204772,0.25320819573777,0.0232300204512651,0.0323804211179443,0.415335224562186,0.0934301004882125,0.0896550629179754
"8x10",0.0146304548932906,0.0376227631924249,0.00864754228466249,0.283958828299951,0.0324065525028442,0.0313008656618336,0.493229755235727,0.0522119326421806,0.0459913052870852
"9x10",0.016178403414528,0.0297000767018168,0.0145941975400544,0.252539745597102,0.0311831191009513,0.0231925613206874,0.550329593789909,0.030781665234282,0.0515006373006686
"7x10",0.0226453187882824,0.0559229033416492,0.0117888643502167,0.294736549473096,0.0638447844478412,0.0764384371612084,0.368413728506837,0.0431276605257221,0.0630817534051473
