"","Endothelial","CAFs","PVL","Plasmablasts","T-cells","Myeloid","Cancer Epithelial","Normal Epithelial","B-cells"
"10x7",0.0174524112018569,0.181725959960512,0.0291411139516664,0.243609833510688,0.00424593710173409,0.0642703044619208,0.452233129107146,0.00410277821264644,0.00321853249182924
"13x7",0.00277467173562068,0.448322471729846,0.00534040258368426,0.144294378987713,0.00149382104135475,0.0645922306371505,0.33010417154856,0.00113070603648306,0.00194714569958752
"11x7",0.00298723251878247,0.113896024971834,0.0179273085365576,0.101293060847137,0.000350428104571142,0.057402908956749,0.704191111651937,0.00118484687271512,0.000767077539717055
"12x7",0.00958819214376776,0.219663597357822,0.0332073904206489,0.168626409897739,0.00133004119395841,0.0957917048430438,0.468214638996791,0.00146818320260278,0.00210984194362627
"11x8",0.0104532319236233,0.174530011011879,0.0629528950899356,0.171098658201747,0.00123394285618418,0.0743834453631336,0.503395001688792,0.000832286592751688,0.00112052727195338
"12x8",0.00628505987848246,0.218789159864015,0.093363823261592,0.0888303073517514,0.000179511076690938,0.138047849991351,0.453316351562138,0.00103503960340971,0.000152897410570006
"9x8",0.00327279440234324,0.202746584322813,0.0464961072136694,0.161441027523992,0.00491092160516681,0.0555827862359993,0.510257542480153,0.0129616756268179,0.00233056058904569
"10x8",0.015432375040789,0.180069610718035,0.0298140152583269,0.276889145710659,0.0139922935435658,0.0621588419333624,0.389724365162408,0.0143968049640143,0.0175225476688394
"8x8",0.00323130321475171,0.217674286952644,0.00989571607820609,0.12222666763341,0.00139828398486393,0.0810041493383839,0.554459735987215,0.00844332941602156,0.00166652739450315
"13x8",0.000867181853453273,0.559848080615467,0.00807520049742876,0.192098186842367,0.000155224376110307,0.0436904213218589,0.194733694963347,0.00035735879560442,0.00017465073436385
"14x8",0.00415421761902268,0.590104761483676,0.146288881343928,0.00212648715839967,1.33164047567954e-05,0.0804231515407144,0.176063660238744,0.000806654213578197,1.8869997180588e-05
"16x8",0.0144743460309971,0.250245699499313,0.259304541525098,0.0649486037052796,0.00160697947115273,0.0271272465959747,0.378183203034847,0.00315331295764754,0.000956067179689709
"11x9",0.0252359711966231,0.183014027264846,0.0082486453951588,0.25327555481573,0.0174559756089051,0.183018361818808,0.292670604257546,0.0026229261214813,0.0344579335209019
"9x9",0.0248589191745086,0.26751221892462,0.0332582816211914,0.323030091883131,0.0057411002566051,0.081774507818611,0.244065770970696,0.0049724722574061,0.0147866370932309
"10x9",0.0152416766975862,0.215711134339893,0.00878174582568377,0.405590398063243,0.00952619798479703,0.118198753736635,0.188022153670971,0.00681052169589725,0.0321174179852938
"12x9",0.0162939800260979,0.257950353346901,0.152501190066219,0.062401975711091,0.00396831111282187,0.155483887697854,0.349798228362012,0.000825802500172102,0.000776271176830343
"13x9",0.00926908123512742,0.385900102784874,0.0576252535260098,0.229444217188892,0.000687119166856173,0.0482417387399788,0.263858395445654,0.00304244089757615,0.00193165101503225
"16x9",0.008541425059592,0.198426169680743,0.00813346991685251,0.0478188583847226,0.00074386482640354,0.0820701668813345,0.652789612090254,0.00120789710471388,0.00026853605538337
"17x9",0.00395577787572148,0.296199646864284,0.00758264953025492,0.109296626441275,0.000603863073957516,0.0302117086325363,0.550310237400494,0.00136934031119059,0.00047014987028514
"15x9",0.00349628575051512,0.305504136572485,0.0123440748205579,0.0383035734516948,0.000514015654961055,0.0477759911702374,0.590946074706582,0.0009332182415262,0.00018262963144046
"14x9",0.00554853316632209,0.314365797593096,0.130537570132136,0.164543220913216,0.000174855276146235,0.07515862592108,0.306817809313231,0.00259920337395067,0.000254384310822776
"14x10",0.000818346411057477,0.434544477079412,0.0174419923955625,0.118816130850805,0.000415186382405684,0.0807039776548589,0.34629104514887,0.000750790417751652,0.000218053659277265
"11x10",0.0322213898304311,0.322218547533186,0.0475551840313847,0.217314780328852,0.0130508700774673,0.136861593136331,0.218496532046937,0.00292182505902737,0.00935927795638319
"16x10",0.00270179675225371,0.236034355286694,0.0185201317300179,0.112604791466892,0.000355086462309,0.0461461177067629,0.582343619816675,0.00082666640275793,0.000467434375638286
"15x10",0.00365322608844998,0.242913790784442,0.0181711588372967,0.206366636309688,0.000936331436431551,0.0685005709010395,0.453951443118575,0.00422873886495843,0.00127810365911862
"18x10",0.00464066000438374,0.373699958817319,0.0145750429063225,0.0679345598162509,0.000556741044131473,0.0260277182069283,0.511078099027321,0.00125317883249601,0.00023404134484697
"10x10",0.00752423649757802,0.228718685735627,0.0191541442782989,0.340252481485109,0.00334300222823984,0.0771449990912162,0.3197847013661,0.00171338467097994,0.0023643646468511
"9x10",0.00263215631071022,0.189410952619403,0.0771025663480889,0.209147355890158,0.000735453572347166,0.116406357982681,0.403532594014727,0.000578347164988173,0.00045421609689656
"12x10",0.00121670783197774,0.230337938641572,0.0206962529315552,0.417862555649302,0.000482036984894651,0.0631676099545697,0.265259002894728,0.00078801632540126,0.000189878785998898
"17x10",0.00111285431912919,0.191198309856473,0.00530966787424193,0.195033782323152,0.000163033341475203,0.011783647160516,0.594385002577505,0.000885486619954827,0.000128215927552768
"13x10",0.000982664072706145,0.25679315446601,0.0341579071816332,0.135063959803791,0.000495040443201036,0.116656873844028,0.450738673264107,0.00453989699927959,0.000571829925244032
"8x11",0.00384926028263068,0.31646220905314,0.0950612090668354,0.0523204413816086,0.000658019259707155,0.0750720293150528,0.452510520440302,0.00388006937080804,0.000186241829915605
"9x11",0.00253280077579888,0.383176058469736,0.056714509625497,0.230764661780092,0.000488725122855934,0.0155728498072534,0.307490756779632,0.00276048711517445,0.0004991505239596
"19x11",0.00256317738728885,0.258291730193551,0.0132359677093035,0.407142336642657,3.56678622268638e-05,0.0369384630622379,0.28163500790064,0.000134029542477508,2.36196996172956e-05
"10x11",0.0273886286742299,0.318764437622445,0.0570944258302158,0.243400313841527,0.00283138411291996,0.0697625628525472,0.276140257030899,0.00175239277380504,0.00286559726141103
"12x11",0.00416812060263682,0.561818081634943,0.014290460442998,0.0372768607536498,0.000643816618179447,0.061453606670093,0.318374742851771,0.00150211294460785,0.000472197481121165
"15x11",0.00267197412238365,0.372436586450899,0.00455365150275695,0.20892879542993,0.00111441330704261,0.0915196702535689,0.317122597297562,0.000704024138696932,0.000948287497160018
"13x11",0.00266022110528691,0.210982205988662,0.105675402299371,0.271608300565599,0.000436225952407992,0.0329711871294428,0.374186081909641,0.00100390245137468,0.000476472598213913
"18x11",0.00105958869284747,0.175240161446752,0.0759488109880556,0.091642837954132,4.46813293895976e-05,0.0420354084173627,0.613842643597211,0.00016700222484082,1.88653494086148e-05
"14x11",0.00209766172099566,0.338731764037445,0.0250909761540557,0.271411421962862,0.000414312230627636,0.117911382651901,0.243162393750772,0.00100027838487496,0.000179809106466289
"16x11",0.00185305586155574,0.282778129525832,0.00989141721146352,0.0854552244369798,0.000173645078923239,0.0425903130560921,0.57547984148026,0.00148100567460632,0.000297367674287564
"17x11",0.00532060008259392,0.335236331707203,0.0380586445178933,0.0825452577999871,0.000608836280174892,0.0579363068879566,0.478172425135172,0.00160023651999911,0.000521361069019963
"20x12",0.00313689302932568,0.297076487260855,0.14354747837011,0.242388496336009,0.000501091251066522,0.0180917362074737,0.29071306052731,0.00407748880468241,0.000467268213167893
