"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"11x5",0.00303499178892923,0.00451580321081154,0.00130851977917232,0.000136447263506799,0.000297652083596895,0.00563361108333793,0.00107750284545872,0.97188115366884,0.0121143182763465
"9x5",0.00070143578504499,0.00298372859975539,0.000677440055264709,0.000280165913123616,0.000516202526646344,0.00381489193252074,0.000214471934081303,0.989039777633648,0.00177188561991511
"10x5",0.00488858602909343,0.0145173822416193,0.00463446182873495,0.000306648377843775,0.000638517560886822,0.017116793706739,0.00224202112005543,0.906831728458017,0.0488238606770109
"8x6",0.00273667116355985,0.0104023772155999,0.00230543146526758,0.000151773540932104,0.000405824830434313,0.0111434371932644,0.000575735298620019,0.944320184424522,0.0279585648677994
"11x6",0.00578669902883141,0.00660670376935108,0.00280358176915484,1.95512997358875e-05,0.000309706685027641,0.0214982177148323,0.00110891607088223,0.880586044904956,0.0812805787572284
"12x6",0.00821825507948458,0.0206324743218179,0.0025144264387481,0.000401035783053573,0.000838010624920953,0.0179275907585316,0.00166409683270083,0.922803293615649,0.0250008165450939
"9x6",0.00293055787842411,0.0100399902219607,0.00249452764330048,0.000254820206458848,0.00157508383583216,0.0178830087517736,0.00107322622785368,0.954220368263115,0.0095284169712811
"10x6",0.00200542056525186,0.0076259462890038,0.00149539021318324,0.000180119603385146,0.000484458584290316,0.0117576703060519,0.000219918155000056,0.973995232413248,0.00223584387058602
"10x7",0.000715825364405567,0.00433817999106672,0.00110705592892137,2.74176895590034e-05,0.000131043799856428,0.0101341560837376,0.000288327213306944,0.981699795094347,0.00155819883479951
"11x7",0.00627079999595937,0.0170581235326207,0.00250942045656954,0.00046473347152538,0.00187030142291441,0.0133039559919458,0.00110843551566314,0.944215813878162,0.0131984157346395
"9x7",0.00391120268974819,0.00925512583795776,0.00173441318089169,0.000181429573164394,0.000947269262423189,0.0094219501322344,0.000717684258831756,0.965220578031897,0.00861034703285161
"8x7",0.00459123704649838,0.00459385430142749,0.00223764919298819,0.000174021411562316,0.000605748580266384,0.0102437976452697,0.000556231358934162,0.972069326713538,0.0049281337495156
"7x7",0.0058175842903334,0.0161144987521137,0.00667056739934608,0.000573582602695012,0.00100547282603233,0.0240817043973781,0.00255154596619369,0.898051913968005,0.0451331297979025
"12x7",0.00560447135905527,0.0147503367821565,0.00553257862535695,0.000428932311371223,0.00152830501976942,0.0438816546437814,0.00208667188810762,0.904295690270607,0.0218913590997942
