"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial"
"22x16",0.0404091661828262,0.0703717198382509,0.0107709720223807,0.00212068672518595,0.00372710870392376,0.1029726498964,0.0104011197886205,0.49512026729486,0.264106309547552
"28x16",0.0218710952704609,0.0868263216371893,0.0204150157117804,0.000538745538870429,0.00206271180364285,0.0660225976865317,0.00123282515144687,0.607557784511542,0.193472902688535
"21x16",0.0237509733017065,0.0676004897248419,0.021080121567118,0.000646730353821851,0.00318253534235972,0.0871777255010289,0.00223640763043588,0.56931250803858,0.225012508540107
"27x16",0.0200220948929246,0.0666445247272345,0.00509329020639722,0.000239290398772828,0.00078719044407351,0.0422408397886771,0.00137411737392579,0.556809264257297,0.306789387910697
"20x16",0.0224581660289023,0.0898015459118834,0.00924140836027032,0.00131806705021162,0.0077583940042607,0.128691330841083,0.00487005787274536,0.513762720917478,0.222098309013165
"26x16",0.018027132111826,0.0763152973551388,0.0055288210849654,0.000136429894360697,0.000563341775156046,0.06093879225761,0.00431962188730954,0.653774739796141,0.180395823837493
"24x16",0.013261532047011,0.0851856649745656,0.0100665615299366,0.000105496612751026,0.00111868073726325,0.0543465735588193,0.00739912441633148,0.583997042698432,0.24451932342489
"23x16",0.0124650238265966,0.0791866645019035,0.00866863770033994,0.000960194636534618,0.00466937037331941,0.0716850828015137,0.0013840544991168,0.582356919165332,0.238624052495344
"16x16",0.00709017601404615,0.114137853093493,0.00408974550443904,7.59292377483497e-05,0.000626018011475321,0.0204343120190971,0.00163988509434088,0.753758750664036,0.0981473303613245
"25x16",0.0132321876632538,0.0638264220782374,0.00590073378998772,0.00164496983480089,0.00638438713481081,0.0301882505901786,0.00715532104408682,0.605717053082493,0.265950674782151
"15x16",0.0197064913506885,0.0284531743417752,0.00723476298462986,0.000260911867978743,0.0025519760009235,0.0940525260990715,0.00238381898646236,0.735149757717281,0.110206580651189
"14x16",0.0125712903881463,0.0156875523530861,0.00732435425540367,7.8915422349787e-05,0.000589704159812017,0.0421992022642666,0.00573239949966539,0.718046254810236,0.197770326847034
"18x16",0.0101151466637953,0.039700603126536,0.0140067542097245,0.00434516164476574,0.00571354660943845,0.119097182462107,0.0101560941979043,0.582904277177635,0.213961233908093
"25x17",0.0667865207752779,0.214473334861669,0.0114284009176714,3.69054405927522e-05,0.000337520494909352,0.0618707620789521,0.000660302658366603,0.45269768183267,0.191708570939891
"22x17",0.00155585724487238,0.0606204904405226,0.0143375589962816,3.23968305360136e-06,7.47170656675043e-05,0.0299013399818361,3.88677669599523e-05,0.881820372117246,0.0116475567035601
"11x17",0.00926893119172287,0.0817172178599645,0.00313154747678445,0.000262205064515022,0.00253921592937954,0.0465227430685521,0.00107969279731688,0.786548462064677,0.068929984547088
"9x17",0.000776751082376392,0.0335985950324486,0.000643529681049067,9.77238526355338e-07,1.56294601713999e-05,0.0641301547695486,1.24509658052573e-05,0.867884240235085,0.0329376715349891
"29x17",0.0550875004530416,0.0852587095522041,0.0249277267284644,0.00573502833838754,0.0198257677105422,0.106740582614632,0.00489837764919595,0.531560233510757,0.165966073442775
"21x17",0.0179037528533445,0.0404866832627617,0.00459568350097668,1.72993337383802e-05,0.00074651948055812,0.0432902505006534,0.00909605098697287,0.776855312472786,0.107008447608209
"10x17",0.0042906161653079,0.0736128841754117,0.00232132340858386,1.62968517209072e-05,0.000135039882991853,0.040460081947878,0.000221816715343767,0.855937355319828,0.0230045855329342
"20x17",0.0334958454638336,0.0720518752222333,0.0140108623061123,0.000143821833140837,0.000621576761428453,0.122139607521346,0.00573070242053702,0.550985755146356,0.200819953325013
"27x17",0.0149859095623406,0.0959296472024825,0.0230951788266195,0.000331398645211549,0.0067669413864203,0.101194412449486,0.00966292721081381,0.519563675058648,0.228469909657978
"28x17",0.00705831438522437,0.0773520140089143,0.0123338034872101,0.00012316928148758,0.00117957973611896,0.043530182849865,0.00473968953967105,0.669707345305355,0.183975901406153
"26x17",0.0311736528045429,0.0836654758112195,0.0413047847643871,0.000140724689877813,0.000434181205118818,0.0486230935661565,0.00239632686379282,0.546282717104498,0.245979043190406
"19x17",0.0258692870560457,0.0610849250525914,0.0150300762390645,0.000295951511044621,0.00322735783609557,0.124494863166566,0.00498065898365171,0.553073160482277,0.211943719672663
"17x17",0.0160009919166312,0.0615344786252882,0.00340576352895771,3.1638395398196e-06,8.58467881442642e-05,0.039413648920853,0.00439328665975518,0.733513479990254,0.141649339730577
"12x17",0.00605083533712572,0.0879404538526931,0.00650260999620068,0.00235450320295713,0.00324584946826085,0.0774499258976073,0.00119615721123491,0.739929905779608,0.0753297592543124
"15x17",0.0128695161572764,0.0683678911669833,0.00455332424663201,0.000457998518393033,0.0013626336456432,0.0386393708114933,0.00140459036031531,0.767304081786928,0.105040593306336
"24x17",0.0136263120453016,0.14531724077567,0.00353573577188299,0.000412238003102643,0.000892035208349933,0.0535066731113194,0.00297264536710647,0.616201161209432,0.163535958507835
"14x17",0.00350019936739044,0.11789766129221,0.000787891187153895,4.56644827103487e-05,5.86913750560662e-05,0.0442269078242922,0.000189958827501094,0.812428217876987,0.0208648077666988
"18x17",0.00758000648736145,0.0726485461753798,0.0117194412485003,0.000586442885875383,0.00397313655398586,0.063504440095219,0.00535010167413254,0.624622936627151,0.210014948252395
"23x17",0.0145132396866604,0.0940172564804225,0.0109786570893626,0.000620531951726285,0.00298818233015059,0.0510581219058462,0.00565504590722962,0.602105125141366,0.218063839507236
"16x17",0.00068912293184892,0.0809197303781312,0.000972588982028407,9.40270977756659e-06,3.90198888552709e-05,0.00427324442936516,0.000156163533462811,0.877011189952536,0.0359295371939945
"13x17",0.00967680880152248,0.0947767447323922,0.00549002775355361,6.93360649909012e-05,0.000612642012024615,0.0498660577279694,0.0018952821331546,0.80819263173361,0.0294204690407822
"22x18",0.0141824487913735,0.073082114899143,0.00646267456165506,0.0012973469382306,0.0023104099861475,0.0584132746004919,0.00162457646591537,0.78976608380843,0.0528610699486135
