"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Andersson_10142021_ST_B3_10x15",0.18294450417682,0.386309588674536,0.014368351609375,0.139181319034478,0.0562207440040681,0.10328357950087,0.0922724212874927,0.000541187176577366,0.0248783045357829,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x16",0.10081745473572,0.0551061766372949,0.124834190141417,0.00148097700039211,0.00470656603788639,0.0964419426682572,0.0069129279431986,0.556467649086027,0.053232115749806,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x17",0.0798814625205828,0.2074937917284,0.10444040351092,0.0636517961231014,0.00427086583413066,0.0217703186230453,0.197103520268937,0.158218232152326,0.163169609238556,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x18",0.04452339370229,0.144155884736275,0.0764787812667168,0.0305646620085593,0.0082922227773004,0.167888710808804,0.0970201152875311,0.234126985354566,0.196949244057957,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x19",0.0779912364915406,0.151263280730404,0.0165490867320305,0.000476229028141039,0.000206285507177845,0.0400935645081828,0.0326940132229674,0.514753455198912,0.165972848580644,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x20",0.0213778198487197,0.345451520766364,0.0241850679433126,0.00133263612121564,0.00423326035364505,0.238564561982599,0.00576856234513156,0.32188687160021,0.0371996990388023,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x21",0.00524577272749019,0.0646715139034944,0.00458858053883714,0.00962852892726488,0.000617413178864209,0.10667081843669,0.12206090001362,0.664434437425888,0.0220820348478511,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x22",0.0823334978389407,0.079279134624208,0.00284510381353053,5.79245314665956e-05,0.000628427010395215,0.00676529042040986,0.0542012836224537,0.749549769863106,0.0243395682754895,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x23",0.0410304500562241,0.093645784095798,0.0229440520783605,0.00211368748604223,0.00533737355450634,0.103775575626716,0.052359749821618,0.560707298102044,0.118086029178691,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x24",0.0758645727929178,0.0636458013257466,0.0299470155773605,0.0261768643031842,0.0138771547940013,0.101968379379364,0.107935653737211,0.309455051422529,0.271129506667685,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x25",0.0409262106445402,0.241280861252197,0.0734235461751397,0.0837106737226446,0.0923284690210709,0.242087496662847,0.0695791787680075,0.0758252117566921,0.0808383519968605,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x26",0.00440326567372691,0.227898200733169,0.00130340370544921,0.124447501256489,0.0368885558856479,0.0470279218424304,0.0393443058929729,0.298404315314636,0.22028252969548,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x27",0.0709201838456903,0.153732358465579,0.022254458551986,0.12884677731627,0.0638904469049843,0.169662751617058,0.0167383233480511,0.226632764909568,0.147321935040812,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x28",0.0245015259155105,0.104455459962179,0.0101449659283643,0.374903661648879,0.0967521660599716,0.104285814577012,0.0131611316386059,0.220017836118123,0.0517774381513545,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x29",0.0296751643942869,0.0666935895856985,0.0086628503966556,0.104523511595052,0.141519798565352,0.0868351558079051,0.0525477563126945,0.317169648889884,0.192372524452472,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x30",0.0284168318059256,0.0472435810140272,0.0171375953931086,0.0204928496602489,0.0364583777399728,0.150096944947044,0.0595388618747418,0.199153266802869,0.441461690762063,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x31",0.036760432398866,0.0386875054769063,0.0153855121667591,0.0116663461559374,0.00979945869291469,0.160826934420314,0.0395230725765783,0.387765811991072,0.299584926120652,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_10x32",0.0230671458231006,0.0789422245690768,0.0280166613896049,0.0358266109506375,0.030127109493878,0.192997353060003,0.0613563685281487,0.336435967441088,0.213230558744462,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x16",0.00911615643662666,0.117637572351608,0.141841550303567,0.000702300279318812,0.00358731794070038,0.0303866713389854,0.1283162687331,0.545346620145143,0.0230655424709517,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x18",0.111339151859924,0.187708530384793,0.00184563456809794,0.0022018970364043,0.00183178818755752,0.18816648542491,0.0951140840481233,0.330339650154327,0.0814527783358617,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x19",0.0603849005662252,0.105768331854886,0.0374029752174014,0.000942792167482289,0.0020839498537015,0.0641778669803875,0.0335056291981617,0.576831716568869,0.118901837592885,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x20",0.00759001779119095,0.0534476215619363,0.102928070685042,9.26273712019579e-05,0.00121031893515451,0.0667738890635112,0.0658346230965092,0.659387342001978,0.0427354894934755,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x21",0.00637758255379867,0.104959476260935,0.00745700442550309,0.00363136539866235,0.00967995390855102,0.0959937637890981,0.108999536316892,0.500852661296543,0.162048656050017,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x22",0.0722151567332341,0.104344449403139,0.0317786327911473,0.022638638866174,0.00940093299562876,0.139075856507689,0.0219374000524782,0.337495425741147,0.261113506909363,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x23",0.0727389178007397,0.156507706838548,0.00919629111351313,0.00944541300005185,0.0036086271707869,0.0942025478089539,0.0213016124335334,0.387957544496198,0.245041339337676,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x24",0.0641075628279143,0.212817197019685,0.031787228879757,0.0223649965417854,0.010587740006101,0.241786375869868,0.0708068614132113,0.22015749909275,0.125584538348928,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x25",0.0438619819421936,0.257716636025436,0.0028368195284803,0.013131613421108,0.00648526824950807,0.107475902155404,0.0748621551793648,0.368384781836068,0.125244841662438,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x26",0.106484270875916,0.238207046747087,0.00458961342804558,0.0311979175863705,0.00568079968822405,0.146021882103499,0.018749864969298,0.402838448857074,0.0462301557444854,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x27",0.0860350255806374,0.148294361220061,0.00282308183928209,0.19914325694822,0.171871515077538,0.146256151457821,0.0115210296095672,0.204757424784851,0.0292981534820229,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x28",0.0211889881592948,0.101117647487197,0.00274903624356846,0.101915499049025,0.011688372020067,0.192500463236246,0.026866145820432,0.457584210557182,0.0843896374269887,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x29",0.0340770386794237,0.074663985914851,0.00896865395735617,0.147063048868474,0.0334839421831091,0.13984572748093,0.0436385676030351,0.31924080475816,0.19901823055466,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x30",0.014954353691761,0.087363747256743,0.0343738567654282,0.0362065155621788,0.0347766791890011,0.207000022618667,0.0265730382356809,0.33130441675816,0.22744736992238,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_11x31",0.0564178548660037,0.0834140222676492,0.0393254340895705,0.0286892878031817,0.0148502946426553,0.216046496336963,0.0552356914887085,0.333024083423343,0.172996835081926,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x16",0.0839763137079488,0.106897345727566,0.188103887058746,0.092342668481665,0.0145448345799564,0.260828581013939,0.0187686728693054,0.0821651996644572,0.152372496896417,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x17",0.0449121232244114,0.0966210951369355,0.292851533497595,0.0294491726231551,0.00402651907454851,0.254981177668808,0.00945236781651934,0.0619882092672332,0.205717801690794,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x18",0.0543069228358363,0.0575324584153308,0.244896733721611,0.000796853729164652,0.00108778687527829,0.156763984227142,0.00974904461504372,0.314136376586424,0.160729838994168,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x19",0.374675373571527,0.233550301761388,0.1112290092106,0.0323623000155225,0.00231835428087162,0.00458913048849763,0.0389697248076787,0.0866096238499507,0.115696182013964,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x20",0.0861566827314085,0.132164237530426,0.0550778550988078,0.0811292131262963,0.0494641253327889,0.105665948567432,0.0388286986293108,0.320375457652301,0.131137781331229,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x21",0.006155331496708,0.066431967491118,0.120089007075375,0.00976337281379605,0.00185363008494567,0.0859134487857168,0.0110326260345683,0.636903757817375,0.0618568584003976,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x22",0.00715227739797283,0.187063114738439,0.00304314725179514,0.0185059708477682,0.0678101952624975,0.0299904069524385,0.030124603903205,0.509269501652159,0.147040781993725,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x23",0.0180436619508703,0.250525148278689,0.00627167909543917,0.00568973208072021,0.00403704658098988,0.122085075317773,0.0385830712794243,0.443241039164052,0.111523546252042,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x24",0.179628748089865,0.109445245174486,0.0861555197138375,0.00381143399433499,0.00551573772009605,0.149252318517007,0.0775539664614115,0.214494299526174,0.174142730802788,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x25",0.093420566760664,0.130911554491626,0.0315648665955318,0.0063673602522511,0.00374518440546373,0.100699504349347,0.0521145763546505,0.479899206573883,0.101277180216583,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x26",0.0331543419124168,0.143043969449622,0.0187368293796926,0.0347579909590669,0.0280350206220864,0.12857116955718,0.050181009234814,0.437035960060052,0.126483708825069,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x27",0.0444959624463288,0.0917193542647406,0.00712564186008531,0.255128656281901,0.217129607645122,0.0765398996527104,0.0491352603541366,0.129498900418046,0.129226717076929,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x28",0.00845829859188697,0.159696944102867,0.0397828485038847,0.203064160355658,0.0355714808752089,0.120999152752581,0.0378693934425264,0.243564417370741,0.150993304004645,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x29",0.00373122634095767,0.0986612393302077,0.00158793880623442,0.00934195220040652,0.0125976678129059,0.142292105280629,0.0352760590706962,0.543674282839964,0.152837528317998,"Human_Breast_Andersson_10142021_ST_B3"
"Human_Breast_Andersson_10142021_ST_B3_12x30",0.0132464784371181,0.0644314110499912,0.0270339595344765,0.0792367763378051,0.0376009440216119,0.221064866119323,0.050638574583273,0.307629159864167,0.199117830052235,"Human_Breast_Andersson_10142021_ST_B3"
