"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Andersson_10142021_ST_C2_10x21",0.123540817040987,0.0751645173996123,0.0428223144877105,0.00411272528893882,0.00537521405983604,0.00981888700982261,0.0227197607857889,0.596597702359535,0.119848061567768,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_10x22",0.186922916803357,0.158853678033467,0.102262470128897,0.0206552463986887,0.031454425417286,0.0551825716050319,0.0321698762409145,0.13676613135666,0.275732684015698,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_10x23",0.103919464736235,0.128287147671114,0.0422094455278147,0.015844642865423,0.032093027248119,0.0727026294189559,0.0171374735710529,0.222854817381566,0.36495135157972,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_11x21",0.333443819866525,0.0715486706191623,0.0546190169506726,0.00260127316493439,0.00413035393873234,0.0207573250522004,0.000636384741840875,0.455798816863607,0.0564643388023256,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_11x22",0.0496676327104978,0.331997847664957,0.0263153929403947,0.00288015238278245,0.0199657646519112,0.0836175852750912,0.00563070451135842,0.233984200623756,0.245940719239252,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_11x23",0.102451508566145,0.138427001036094,0.0467256472215857,0.0352268225981577,0.0542973439128858,0.0614643441920324,0.0239417906570267,0.180915130337868,0.356550411478204,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_11x24",0.0951649243854261,0.139778788455837,0.0553621637262493,0.00216258963381366,0.0163267290802794,0.025742006993185,0.00602426665068504,0.537112297055013,0.122326234019512,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_12x20",0.117407435366258,0.110857860482824,0.0254533712853304,0.00471491883035651,0.0104159388794857,0.0642870430420018,0.0111377681738061,0.202840525365588,0.452885138574351,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_12x21",0.130009454147813,0.129347839307249,0.0688781745765554,0.0227329539903533,0.0492518075993921,0.0550806390494938,0.00722759471578746,0.267015503745022,0.270456032868334,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_12x22",0.0289645138669427,0.171401003960032,0.0461493890571747,0.0308194710852329,0.0635410621151815,0.0505348594344538,0.0155524614534588,0.277442883610998,0.315594355416526,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_12x23",0.244020435076183,0.11555493822411,0.0270227240502396,0.00318693844157534,0.0241722513510211,0.034988116782955,0.00229280841467838,0.41084676851106,0.137915019148178,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_12x24",0.0506056521884711,0.122844138878259,0.0390168009216128,0.00761998965567322,0.0298739072638118,0.0437871530513507,0.0129345220072019,0.294526248833828,0.398791587199792,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_13x19",0.0628774246101219,0.0697489882360414,0.02520048816896,0.0156715312533398,0.0102211665030959,0.0439234581125878,0.0187384125464249,0.169744156686111,0.583874373883317,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_13x20",0.185006339493982,0.102690731840253,0.0647318938510514,0.00789864897067012,0.0104710774792412,0.0352115182040596,0.015797403804704,0.163729911945774,0.414462474410266,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_13x21",0.09739265527622,0.168707518084833,0.039296472603157,0.00518561315562568,0.00774445060948905,0.0238033894160547,0.00596885231263355,0.452194344378364,0.199706704163623,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_13x22",0.1303989325468,0.126991422793268,0.0442541640150022,0.00585802636994265,0.0185592740488342,0.0293681988911505,0.0150189130731895,0.443540766602006,0.186010301659807,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_13x23",0.0451788392755616,0.294629443187673,0.0986506191317739,0.0107517511367556,0.0360139762814789,0.169559932249447,0.0139606478654986,0.219291532097899,0.111963258773912,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_13x24",0.13087900171753,0.171556495816262,0.0981833596402592,0.0118859436733973,0.0149088325843782,0.125201078912333,0.0210113534533543,0.292607671318886,0.133766262883601,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_13x25",0.0724714402101843,0.146092981990431,0.0980735395115977,0.00928180156138417,0.0328215976949603,0.119975911307409,0.0338883449180423,0.195074852565383,0.292319530240608,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_14x19",0.0932716865711407,0.0750015523021928,0.015875444611977,0.0151001588182486,0.0197320208654141,0.0302162134581214,0.0304423726370508,0.1252676202911,0.595092930444755,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_14x20",0.109799796739632,0.0916393532841506,0.0403545446227469,0.018688976354831,0.0297236633006609,0.116864977195447,0.00322847303081188,0.349688217685168,0.240011997786552,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_14x21",0.0905444946598146,0.146481291516387,0.12426491769601,0.000374022298828426,0.00265994060552132,0.0205177232489425,0.000884538243741066,0.463106480548852,0.151166591181903,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_14x22",0.0681422944840821,0.0598753239957573,0.0166388383665768,4.77355626280586e-05,0.000214397955221507,0.00550904830358129,0.0092004081193499,0.764727707904304,0.0756442453084989,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_14x23",0.0801640453184096,0.20208616740886,0.0400048091914186,0.00873089360951472,0.00552228966694814,0.10524283851671,0.00840766302493557,0.420262147745409,0.129579145517794,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_14x24",0.0350838260391063,0.121042671013117,0.0384925878658324,0.00343975348193118,0.0054133195454093,0.163029639051656,0.00322211923513192,0.452505771553105,0.177770312214712,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_14x25",0.063975677614995,0.150588998937066,0.0409212323600122,0.00901077742960877,0.0234827102659482,0.050930869392777,0.0318958050963019,0.315946944339714,0.313246984563577,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_15x18",0.112249467950483,0.0696399903023593,0.0234182077588086,0.0277966868413144,0.0170455416373968,0.0323964527522119,0.026691391213569,0.0801145340784171,0.61064772746544,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_15x19",0.144724089415151,0.161242280455382,0.0699119223704307,0.0120615468967627,0.0106182125374542,0.0910139042566437,0.0130257466591782,0.0956444734453026,0.401757823963695,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_15x20",0.137835064271486,0.185918109842237,0.10454279090558,0.105560059907782,0.181901848082908,0.088294177034587,0.0226408890645681,0.0205967327766417,0.15271032811421,"Human_Breast_Andersson_10142021_ST_C2"
"Human_Breast_Andersson_10142021_ST_C2_15x21",0.131253819705086,0.139150179115158,0.0376593467801876,0.00603253670705697,0.00901955037829498,0.0341143849001557,0.00745339171057227,0.425246049917669,0.210070740785819,"Human_Breast_Andersson_10142021_ST_C2"
