"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Andersson_10142021_ST_E2_10x10",0.0448507613203146,0.0344762284120899,0.0023059966441528,3.89745765203876e-05,8.83173369604542e-06,0.096668756240724,0.0171956813456318,0.629945470441653,0.174509299285218,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x11",0.0166976655201983,0.022920832421303,0.00133860117161942,0.000138064251784216,2.42978658372436e-05,0.124904035077347,0.0325868371006623,0.689172414376021,0.112217252215227,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x12",0.00228267946031455,0.0138971558087489,0.00460685402536988,0.000580262800953823,1.75524297552899e-05,0.1756542122201,0.00357063871649102,0.751765968538033,0.0476246760002336,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x13",0.0147393197963902,0.0338458472020751,0.00466500764220523,0.000108305590474852,3.37577042136133e-05,0.0762525750246553,0.0028629965492863,0.815402758445346,0.0520894320453534,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x14",0.0165077894949903,0.0285700988566398,0.0049780757637772,5.11921637395395e-05,2.77353277450619e-05,0.120314722507208,0.00245009235024267,0.803444393322311,0.0236559002133467,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x15",0.00285576369099382,0.057258590761382,0.00439984697190375,0.00279508009529864,0.000753359174248497,0.178726779684115,0.0159375113987752,0.689526430336218,0.0477466378870652,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x16",0.00444287891098403,0.0404598888253829,0.00327252379866425,2.56341281526841e-05,2.94280591769642e-05,0.0871935385678268,0.00870291427743066,0.831143428759494,0.0247297646728875,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x17",0.00337923162320807,0.0286064210671271,0.0022161136871721,3.11665255006509e-05,4.26588686775355e-05,0.0648307832030527,0.0430021013598869,0.732885013719888,0.125006509945487,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x18",0.00110855297428031,0.0253219426130209,0.0015511389906744,2.78474492221129e-05,1.28221766672186e-05,0.103151209609091,0.0379144024963361,0.666318773586737,0.164593310103971,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x19",0.0141035695224996,0.0301088816714124,0.00232571259616976,0.000121520471788998,3.64251650197059e-05,0.0943559368150697,0.0441484831689675,0.666456114559111,0.148343356029961,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x20",0.0100948244645624,0.0545412546459627,0.00179810622859507,4.69598764118258e-05,3.26682504009985e-05,0.0964292412590498,0.00459296019120123,0.777835360935593,0.0546286241482226,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x21",0.00595274338220106,0.0553809162817133,0.00666646514179178,5.66671527071726e-05,1.69570907537253e-05,0.0908812731997437,0.00657648732551462,0.749434582122469,0.085033908303106,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x22",0.0439984441075833,0.0438456035368583,0.0022778659322661,5.03579862556816e-05,2.59818527802543e-06,0.0384829244944682,0.00697279954649193,0.801109601813301,0.0632598043974972,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x23",0.0015032731413981,0.0437016620697659,0.00325982439581227,0.000215340070582847,3.74687479490264e-05,0.0599029174635216,0.0236604925211856,0.814117469329933,0.0536015522598519,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x24",0.0238269841067887,0.0969243523509389,0.00213818318730333,0.000517656851465006,0.000171338722150065,0.136703979792243,0.00911781609262179,0.604041393589303,0.126558295307186,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x25",0.0126462439417337,0.0218743760254662,0.000575159080030931,0.000116976613009615,6.9537912676698e-05,0.0849751891637172,0.011910568438485,0.769295606659228,0.0985363421656528,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x26",0.0161707854099404,0.0527644754285264,0.00341349004462457,0.000150442740075062,9.40331666563402e-05,0.135111687033072,0.0386444768753727,0.57225328801265,0.181397321289082,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x27",0.0713696399352352,0.0356164199837176,0.0102228337755545,0.000144894440569415,0.000103667072537675,0.201272282524852,0.00879392021822697,0.56319046785286,0.109285874196447,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x28",0.0334612339101203,0.0218141057158954,0.0015356269646585,3.25637437588083e-05,4.83908203328035e-05,0.0870084990413877,0.0475725465350639,0.664593719829295,0.143933313439487,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x5",0.03973154327161,0.0425959807121105,0.0018698758762216,0.000233801099109182,1.95423419260597e-05,0.0859844642155911,0.0426288579432021,0.622171525471946,0.164764409068283,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x6",0.0259773047809574,0.054853589669238,0.00643664112934122,0.000756195510523626,5.13792440986556e-05,0.111697652563263,0.00357336068351066,0.753976463924329,0.0426774124947379,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x7",0.0326753972454705,0.0419477939289274,0.00267372214993064,0.000116140635006636,2.4925984903844e-05,0.136439498154799,0.00606703276543347,0.740509194247241,0.0395462948882865,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x8",0.0202228690264138,0.0404576686545848,0.00311600221761907,0.000123106972090318,7.6701405177293e-05,0.103029307770158,0.0477662938315647,0.604119001143685,0.181089048978707,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_10x9",0.0202758063531902,0.0605908422264809,0.0222328334649185,0.000657805764330282,8.78962636854348e-05,0.0708942870864094,0.00986060802958059,0.731068874002851,0.0843310468085534,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x10",0.0295166280801074,0.0368972748872545,0.0103367238023583,7.30708797398755e-05,2.48112975937603e-05,0.0988194145629931,0.00801725324726711,0.779445237522845,0.0368695857198405,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x12",0.00584544747551464,0.0222442464731155,0.00214516002629391,0.000304116783086385,0.000109435246714646,0.0735082671903351,0.00672914013872766,0.836556758092642,0.0525574285735698,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x13",0.00944639537745435,0.0251608060615553,0.00156103970670933,0.000189321396051767,5.34025533170997e-05,0.107325280309471,0.00227148501211081,0.833758216264294,0.0202340533190356,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x14",0.0210532079640199,0.0264584893206535,0.00295271590526104,8.12841595714672e-05,3.32230585607511e-06,0.0979476620165133,0.00593339543742626,0.830424901480679,0.015145021410019,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x15",0.0183262915391664,0.0587905119045714,0.00511103941260675,7.56661873723504e-05,2.37309903423605e-05,0.13378713701037,0.0101559831222424,0.714423236305518,0.0593064035278101,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x16",0.00459058910283583,0.0306643003580367,0.00161482380971551,0.000151317941657353,2.19399789600522e-05,0.0618112613176742,0.00160114670464153,0.886887284734462,0.0126573360520168,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x17",0.00592400077006538,0.0231524695595761,0.00152004173251659,0.000118250640790151,4.85363156873909e-05,0.0477714926045479,0.00271256005333354,0.886633261018315,0.0321193873051679,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x18",0.0271916274716171,0.0378133140480304,0.00420985192407012,6.32047939499605e-05,1.14875894647347e-05,0.0806442452375958,0.00572213470820896,0.753781106244295,0.0905630279827678,"Human_Breast_Andersson_10142021_ST_E2"
"Human_Breast_Andersson_10142021_ST_E2_11x19",0.00623801984331815,0.0318475042378658,0.000519555497572875,1.35893859351472e-05,6.98243352293684e-06,0.0432922935785849,0.00609641479752116,0.880387264485553,0.0315983757401254,"Human_Breast_Andersson_10142021_ST_E2"
