"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Andersson_10142021_ST_G1_10x10",0.259628841621256,0.112277437452868,0.093076912849267,0.0118895167192265,0.0347083504265689,0.071270770663808,0.153360329404037,0.112690818591496,0.151097022271472,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x11",0.161665268018871,0.133486641509255,0.0792133673431791,0.0203424044223484,0.161744748546835,0.0564833764710887,0.0659228860216199,0.10625835916166,0.214882948505144,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x12",0.231698353320218,0.090802461061733,0.0479951766843185,0.0142231896544265,0.0289472420656628,0.0553510188542172,0.145918277165739,0.133194464808644,0.251869816385041,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x13",0.146511883546972,0.120715673599984,0.0353694179402069,0.0107070111227992,0.0180660748203916,0.110904765109844,0.0324166426169566,0.313841804738301,0.211466726504545,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x14",0.32634692656923,0.0876894367260022,0.100092854010981,0.0231635773609019,0.0239592234917616,0.0785208105457182,0.0771123873525319,0.13908587935793,0.144028904584943,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x15",0.444327244524809,0.0911487538327489,0.044422229368934,0.0974701522610398,0.101868554082882,0.0970022707233251,0.0200333450671027,0.0350235995201359,0.0687038506190222,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x16",0.0637072186205345,0.214926547056977,0.0491066282501744,0.0288584497762244,0.130576009924637,0.0990365681784567,0.0991600321852841,0.153126358778318,0.161502187229393,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x17",0.192348710083758,0.207182949814504,0.164262344531491,0.0220256688531088,0.0130954028809495,0.122474220446682,0.0385907344596626,0.127552430033757,0.112467538896087,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x18",0.0813265917002697,0.158782322382023,0.056155637089075,0.0821132971244704,0.165359593307249,0.285818024556719,0.0342657693179828,0.108173419337644,0.0280053451845676,"Human_Breast_Andersson_10142021_ST_G1"
"Human_Breast_Andersson_10142021_ST_G1_10x19",0.135352379750152,0.198013906959869,0.115273579437016,0.0264674868786887,0.11732685282624,0.160051530822161,0.00954633312348668,0.211356449475496,0.0266114807268898,"Human_Breast_Andersson_10142021_ST_G1"
