"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Andersson_10142021_ST_H3_10x10",0.11327333417892,0.0287617339735139,0.0353986538064071,0.143476447954355,0.068720634889292,0.0836593601379801,0.153127691066018,0.306080626850355,0.0675015171431592,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x11",0.171530611185241,0.0313487543219941,0.0212146691975602,0.0472428524300132,0.174095246594281,0.0852021395490914,0.0267318940329144,0.356716761996055,0.0859170706928494,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x12",0.125730667042868,0.126905235565032,0.104198777049006,0.0305697436847028,0.118029418186908,0.0596829183718586,0.052661628130536,0.215599330796498,0.16662228117259,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x13",0.0241234512105956,0.0126041344736936,0.0301151580267014,0.0107139832096299,0.0106715735248464,0.00951275106650272,0.0240117528527726,0.812460103751345,0.0657870918839134,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x14",0.0972204388786317,0.0408062708046762,0.0255140640543834,0.0225772895703028,0.148532242889287,0.0859400458289142,0.0410773511620901,0.464299068281195,0.074033228530519,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x15",0.0954461836473516,0.0636116048331889,0.0515066659851857,0.168833810068774,0.0991263904393126,0.0739669876234528,0.123089215792368,0.242580848685792,0.0818382929245741,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x16",0.199795295243786,0.107319404181086,0.0313794948754212,0.0249386120857514,0.181213449207449,0.0983514507829029,0.0684316837614477,0.163326372895782,0.125244236966373,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x17",0.0935189165534113,0.0402815427511463,0.0214745921362386,0.0361010439505744,0.0795059820406411,0.120273519011228,0.0795506557552077,0.183841052225471,0.345452695576081,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x18",0.0888737110905586,0.0596258533766159,0.0441525004135603,0.0101608647478521,0.0511724598072653,0.0622901706651986,0.15634096322859,0.193530268781565,0.333853207888794,"Human_Breast_Andersson_10142021_ST_H3"
"Human_Breast_Andersson_10142021_ST_H3_10x19",0.0516353719272759,0.0380236162141929,0.00853476245729077,0.0903029444381779,0.204187841172837,0.0290063386116176,0.0931255360716674,0.292080180804619,0.193103408302322,"Human_Breast_Andersson_10142021_ST_H3"
