"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_He_06222020_ST_BC23287_D1_23x22",0.0222735493698012,0.236591887945314,0.0121876577840387,0.000540945952522192,0.000622163028105339,0.00528747506145372,0.000751340299532349,0.114489013382214,0.607255967177018,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_23x23",0.0855492355614982,0.118553286220503,0.554308897379505,5.62018124394295e-05,8.71623678154635e-05,0.00307853855350918,0.0106889390521757,0.0175604167735305,0.210117322279024,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_23x25",2.09654386125178e-05,0.000485191723651786,0.000229655686040348,2.69135037435509e-06,4.53095473418557e-06,7.01139584442935e-07,0.0173705557533782,0.0132982950364653,0.968587412917159,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_23x26",0.000384931247170909,0.00166156036182291,0.000500324580039967,1.08255268092319e-05,4.18731737818159e-05,4.49792160371354e-06,0.0294015450605864,0.0431832917627439,0.924811150365441,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_23x27",0.00014315478765057,0.000338851025335002,0.000189015229183855,4.76936671807389e-07,4.76866572709867e-06,7.2597230446515e-06,0.00206599515308818,0.148968764843157,0.848281713636142,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_23x28",1.59593180733065e-05,5.53589988676886e-05,1.12921833043508e-05,1.77001959192156e-07,1.09491345968068e-06,5.04044522197502e-07,0.00170592187986726,0.149499595974269,0.848710095685678,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_23x29",3.75995360630893e-05,0.00221075592010613,0.000248923417717631,6.67158368011097e-07,1.95222104171833e-06,1.79569554882508e-06,0.00490635027004467,0.0192192624491154,0.973372693331994,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_7x32",0.000263846123983906,0.262769828402115,0.00085934986133359,1.77748844437946e-06,4.66957041373914e-06,3.46709854045327e-05,1.00716326716145e-05,3.08803688129857e-06,0.736052697898752,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_20x20",0.00296452047177517,0.0846672787894289,0.0798977395721043,1.90518775266512e-06,1.68548007443041e-05,0.00115789288469976,0.00740111437738012,0.0241909553184671,0.799701738597648,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_3x22",1.45934908901572e-06,0.000115746135772262,7.70479505881135e-07,4.13289102891078e-08,3.08690973140825e-08,4.9877183349432e-06,0.00212807289878816,0.0266867052058117,0.97106218601469,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_20x22",0.000562265353833512,0.204663855581119,0.00462040472625578,1.03629196529804e-07,2.75941064650609e-06,6.66667062991782e-06,0.01575750065836,0.134175241713612,0.640211202256346,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x28",4.83247503991337e-05,0.0156329193307614,0.000595510397486862,4.88318979505406e-07,3.78661584119113e-06,6.99563273960977e-07,0.00367088864844654,0.0344842675230028,0.945563114851809,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x29",0.00155491537107683,0.0599137520932142,0.0218759559584139,1.91917633071635e-06,1.99657326133419e-06,0.000317369533114146,0.0045375016576178,0.0396859928494557,0.872110596787515,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x26",0.000940411092028885,0.0608331665265063,0.00116296919549992,0.000108684016550545,0.000146098362245868,0.00627716951711798,0.0174844074609645,0.0382202747830092,0.874826819046077,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x27",0.00498270969628146,0.00133313181089693,0.00357144991142182,1.31664204353519e-06,4.74263097692071e-06,2.66808668536754e-06,0.0195584864197878,0.144397245901513,0.826148248900394,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x24",0.00188799068250544,0.000307931759792717,0.0012493882156472,0.000115150965244013,0.000151463254357761,1.18021359735604e-06,0.027781171640145,0.540624045096322,0.427881678172388,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x25",5.98293162109468e-05,0.0335747971120946,0.000311914731221014,1.23424693416862e-05,1.09701196942253e-05,0.000178420655657295,0.122707080245115,3.36778511527635e-05,0.843110967499513,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x22",1.62137539798792e-06,1.40913827495694e-06,0.000691080831814752,0.000101671257077846,1.62782605098351e-05,4.1687691986156e-09,0.0286333599990778,0.000768728423338398,0.969785846545739,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x23",0.205414043281951,0.168772583540705,0.00165179909919494,0.000358090751276162,0.000562139080512283,0.0224153811571884,0.0565698455264085,0.000398297725789896,0.543857819836973,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x20",0.000444875132585933,0.0254659474334593,0.0172737227771848,4.57649325465232e-05,0.000145782888206482,0.000259276215941124,0.00115805035316559,3.95737715347947e-05,0.955167006495376,"Human_Breast_He_06222020_ST_BC23287_D1"
"Human_Breast_He_06222020_ST_BC23287_D1_18x21",5.16409875193558e-05,0.000836843130631556,7.72655963205219e-07,5.09125628473804e-08,2.03640045340978e-07,0.042936056978088,0.00180052577549242,0.0569074932459327,0.897466412673765,"Human_Breast_He_06222020_ST_BC23287_D1"
