"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_He_06222020_ST_BC23377_C1_3x30",0.061416040819997,0.416700699458307,0.219616052089592,0.0222999662308203,0.0130175150999202,0.135486879098774,0.0152494449875284,0.00382892687103013,0.11238447534403,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_3x31",0.0245636087133013,0.403942983774495,0.10890541876326,0.138563615317755,0.0380925996095578,0.111743776549754,0.0225219108881249,0.00935902247810771,0.142307063905644,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_3x32",0.0641937851841912,0.157402431933212,0.169225685230403,0.319009666942565,0.0454571605809486,0.0464775738968441,0.0549959459321581,0.00259489384935868,0.14064285645032,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_3x33",0.0727016473738167,0.174146362766242,0.145925364075082,0.291004105959162,0.053713174834675,0.0768566194348442,0.0444199764399659,0.0227677500050119,0.118464999111201,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x20",0.016582220802047,0.234905013678876,0.0298264016963101,0.352752237657193,0.0836441600096239,0.178636337347353,0.0346875222398842,0.00113423047244597,0.067831876096266,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_16x28",0.0522603040900893,0.076073048553036,0.050450393334941,0.0471723933565395,0.103876077097927,0.0327304217623472,0.206989277664217,0.0174962828506747,0.412951801290229,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x22",0.0196625234460682,0.191009897855221,0.0638723918589631,0.313958324327743,0.16805627151077,0.0609875423633088,0.0706813222737442,0.00471240599492935,0.107059320369252,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x23",0.0502004516978861,0.106065288233271,0.0943559233986093,0.471446474589865,0.079829236688853,0.0292787680614158,0.0437219228094364,0.00719213584560535,0.117909798675058,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x24",0.0201805149312037,0.188437644694832,0.168675037650259,0.0244759242020181,0.0600438575035731,0.0144808087398687,0.0573174835090252,0.0280659524041547,0.438322776365066,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x25",0.0568988223328841,0.1817530494823,0.0220326518069681,0.0607173332594348,0.0846550620570781,0.0418779685205835,0.0883888017198546,0.0287353243027793,0.434940986518117,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x27",0.146813595321783,0.0657683709704702,0.0711147933688608,0.0385363579971218,0.0919641260355818,0.00829200166377052,0.12998185410645,0.0103374834743462,0.437191417061615,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x28",0.0472667361472243,0.0367033662718017,0.0933985928218818,0.0535206935620167,0.0637830022989936,0.018765648172389,0.126210779320955,0.0144571345088218,0.545894046895916,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_23x29",0.0379524669539103,0.0664461075502411,0.118099787229477,0.199243860889382,0.0868096174451305,0.0242998330660932,0.0503096704901814,0.00257146746400063,0.414267188911584,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_21x9",0.0292987515853926,0.203360468358167,0.073379998047383,0.388089986977532,0.0252105795399294,0.0675405550270267,0.135240641863002,0.000879979730549243,0.0769990388710175,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_21x8",0.0221507265352314,0.148005189169549,0.131696262808437,0.535476689750628,0.0438650603247435,0.0250714634044995,0.0224946119293914,0.000932780547468597,0.0703072155300513,"Human_Breast_He_06222020_ST_BC23377_C1"
"Human_Breast_He_06222020_ST_BC23377_C1_30x21",0.0368363985467652,0.146536418343447,0.0102940841283406,0.618977188179296,0.061006426362262,0.00984863557107106,0.04008219499039,0.00250612393692437,0.0739125299415033,"Human_Breast_He_06222020_ST_BC23377_C1"
