"","Endothelial","CAFs","PVL","B-cells","T-cells","Myeloid","Normal Epithelial","Plasmablasts","Cancer Epithelial","sid"
"Human_Breast_Stahl_07012016_ST_Layer4_18.89x8.958",0.0117130681245824,0.0929978057481273,0.00532081084050198,0.00552021257710068,0.00462704011583732,0.0937519255787771,0.0571841293247422,0.316760871171363,0.412124136518968,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_17.902x8.962",0.0019576936801146,0.0543426856405244,0.505658106840342,0.000933526167928044,0.000572829381616373,0.233462880663581,0.0251399845110324,0.0530614428961345,0.124870850218727,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_13.029x9.008",0.0250839583653169,0.181384292216757,0.157710010095819,0.00908087760624417,0.00237268941842137,0.0235523961422573,0.157477438113278,0.213723789342023,0.229614548699883,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_16.824x8.995",0.297470228777283,0.0776377954444287,0.158335472419014,0.000545120171237594,0.000486270826529745,0.186910802344408,0.0288320586597523,0.154942775507093,0.0948394758502535,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_13.948x9.022",0.0327921907409005,0.0567546029476662,0.016912403599984,0.00169486501104859,0.0126497889173576,0.144636357411285,0.167574641612504,0.167708662641327,0.399276487117927,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_15.955x9.009",0.0670934365804901,0.0968628532317902,0.277497950002184,0.000312588144976508,0.00159786514318066,0.0968988727044996,0.13021453802336,0.0349522174352426,0.294569678734276,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_12.083x9.046",6.38927182965147e-06,0.189157609935774,0.698016023070949,0.000823247844855582,0.000841379019665773,0.00328628115143542,0.0634548901233255,0.000750245503206093,0.0436639340789591,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_14.875x9.055",0.00300902478347126,0.0930828306410495,0.257019375765355,0.000551112847756475,0.00190791086501563,0.144771033893518,0.126602121196164,0.0238941879746541,0.349162402033016,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_21.896x9.877",0.000622978202817924,0.1507726541612,0.0240472911152353,1.80077088818971e-05,3.94567705426732e-05,0.0708159560651052,0.114076092164327,0.592394153213278,0.0472134105986126,"Human_Breast_Stahl_07012016_ST_Layer4"
"Human_Breast_Stahl_07012016_ST_Layer4_20.855x9.924",0.0239690689342017,0.160748680673564,0.350159572938695,0.00159874682142512,0.00685589886718052,0.0572491842084051,0.126159158554382,0.0684659902620022,0.204793698740144,"Human_Breast_Stahl_07012016_ST_Layer4"
